Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	8	1250	95	96	1. HANE	0.375
2	9	Si4b4	B4b4	310	310	1	16	208	95	96		0.4375
3	9	La4	A4	305	305	1	16	208	95	96		0.5
4	9	La4	A4	305	305	1	2	1667	95	96		1
5	53			0	0	0	0	0	0	0		1
6	9	Si4b4	B4b4	310	310	1	16	208	95	96		1.0625
7	9	Do5#4	C5#4	322	322	1	16	208	95	96		1.125
8	9	Si4b4	B4b4	310	310	1	16	208	95	96		1.1875
9	9	La4	A4	305	305	1	16	208	95	96		1.25
10	9	Si4b4	B4b4	310	310	1	8	417	95	96		1.375
11	9	Do5#4	C5#4	322	322	1	8	417	95	96		1.5
12	9	Re5	D5	327	327	1	16	208	95	96		1.5625
13	9	Do5#4	C5#4	322	322	1	16	208	95	96		1.625
14	9	Si4b4	B4b4	310	310	1	16	208	95	96		1.6875
15	9	La4	A4	305	305	1	16	208	95	96		1.75
16	9	Sol4	G4	296	296	1	8	417	95	96		1.875
17	9	La4	A4	305	305	1	8	417	95	96		2
18	9	Sol4	G4	296	296	1	8	417	95	96		2.125
19	8	Do5#4	C5#4	322	322	0	0	0	95	96		2.125
20	9	Si4b4	B4b4	310	310	1	16	208	95	96		2.1875
21	9	La4	A4	305	305	1	16	208	95	96		2.25
22	53			0	0	0	0	0	0	0		2.25
23	9	La4	A4	305	305	1	4	833	95	96		2.5
24	9	La4	A4	305	305	1	8	417	95	96		2.625
25	9	Si4b4	B4b4	310	310	1	8	417	95	96		2.75
26	9	La4	A4	305	305	1	8	417	95	96		2.875
27	9	Sol4	G4	296	296	1	8	417	95	96		3
28	9	Re5	D5	327	327	3	16	625	95	96		3.1875
29	9	Do5#4	C5#4	322	322	1	16	208	95	96		3.25
30	9	Si4b4	B4b4	310	310	1	8	417	95	96		3.375
31	9	La4	A4	305	305	1	8	417	95	96		3.5
32	9	La4	A4	305	305	1	16	208	95	96		3.5625
33	9	Si4b4	B4b4	310	310	1	16	208	95	96		3.625
34	9	La4	A4	305	305	1	16	208	95	96		3.6875
35	9	Sol4	G4	296	296	1	16	208	95	96		3.75
36	9	Fa4#4	F4#4	291	291	1	16	208	95	96		3.8125
37	9	Sol4	G4	296	296	1	16	208	95	96		3.875
38	9	La4	A4	305	305	1	16	208	95	96		3.9375
39	9	Fa4#4	F4#4	291	291	1	16	208	95	96		4
40	9	Sol4	G4	296	296	1	4	833	95	96		4.25
41	53			0	0	0	0	0	0	0		4.25
42	9	Fa4#4	F4#4	291	291	1	8	417	95	96		4.375
43	9	Sol4	G4	296	296	1	8	417	95	96		4.5
44	9	La4	A4	305	305	1	8	417	95	96		4.625
45	9	Si4b4	B4b4	310	310	1	16	208	95	96		4.6875
46	9	La4	A4	305	305	1	16	208	95	96		4.75
47	9	Sol4	G4	296	296	1	8	417	95	96		4.875
48	9	La4	A4	305	305	1	8	417	95	96		5
49	9	Si4b4	B4b4	310	310	1	8	417	95	96		5.125
50	9	Do5#4	C5#4	322	322	1	16	208	95	96		5.1875
51	9	Si4b4	B4b4	310	310	1	16	208	95	96		5.25
52	9	La4	A4	305	305	1	8	417	95	96		5.375
53	9	Si4b4	B4b4	310	310	1	8	417	95	96		5.5
54	9	Do5#4	C5#4	322	322	1	8	417	95	96		5.625
55	9	Re5	D5	327	327	1	8	417	95	96		5.75
56	9	Do5#4	C5#4	322	322	1	8	417	95	96		5.875
57	9	Re5	D5	327	327	1	8	417	95	96		6
58	9	Mi5	E5	336	336	1	16	208	95	96		6.0625
59	9	Fa5	F5	340	340	1	16	208	95	96		6.125
60	9	Mi5	E5	336	336	1	16	208	95	96		6.1875
61	9	Re5	D5	327	327	1	16	208	95	96		6.25
62	9	Do5#4	C5#4	322	322	1	16	208	95	96		6.3125
63	9	Re5	D5	327	327	1	16	208	95	96		6.375
64	9	Do5#4	C5#4	322	322	1	16	208	95	96		6.4375
65	9	Si4b4	B4b4	310	310	1	16	208	95	96		6.5
66	9	La4	A4	305	305	1	4	833	95	96		6.75
67	53			0	0	0	0	0	0	0		6.75
68	9	Do5#4	C5#4	322	322	1	8	417	95	96		6.875
69	9	Re5	D5	327	327	1	8	417	95	96		7
70	9	Mi5	E5	336	336	1	8	417	95	96		7.125
71	9	Fa5#4	F5#4	344	344	1	16	208	95	96		7.1875
72	9	Sol5	G5	349	349	1	16	208	95	96		7.25
73	9	Fa5	F5	340	340	1	16	208	95	96		7.3125
74	9	Mi5	E5	336	336	1	16	208	95	96		7.375
75	9	Re5	D5	327	327	1	8	417	95	96		7.5
76	9	Mi5	E5	336	336	1	16	208	95	96		7.5625
77	9	Fa5	F5	340	340	1	16	208	95	96		7.625
78	9	Mi5	E5	336	336	1	16	208	95	96		7.6875
79	9	Re5	D5	327	327	1	16	208	95	96		7.75
80	9	Do5#4	C5#4	322	322	1	8	417	95	96		7.875
81	9	Re5	D5	327	327	1	8	417	95	96		8
82	9	Do5#4	C5#4	322	322	1	8	417	95	96		8.125
83	9	Re5	D5	327	327	1	16	208	95	96		8.1875
84	9	Mi5	E5	336	336	1	16	208	95	96		8.25
85	9	Fa5	F5	340	340	1	16	208	95	96		8.3125
86	9	Mi5	E5	336	336	1	16	208	95	96		8.375
87	9	Re5	D5	327	327	1	16	208	95	96		8.4375
88	9	Do5#4	C5#4	322	322	1	16	208	95	96		8.5
89	53			0	0	0	0	0	0	0		8.5
