Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	8	556	100	0		0.1111111
2	9	La4	A4	305	305	1	4	1111	95	96	Bil	0.3333333
3	9	Do5#4	C5#4	322	322	1	8	556	95	96	mi	0.4444444
4	9	Si4b4	B4b4	310	310	1	8	556	99	96	yo	0.5555556
5	9	Do5#4	C5#4	322	322	1	8	556	95	96		0.6666667
6	9	La4	A4	305	305	1	4	1111	95	96	rum 	0.8888889
7	9			-1	-1	1	8	556	100	0		1
8	53			0	0	0	0	0	0	0		1
9	9	La4	A4	305	305	1	8	556	95	96	ba	1.111111
10	9	La4	A4	305	305	1	4	1111	99	96	na 	1.333333
11	9	Do5#4	C5#4	322	322	1	8	556	95	96		1.444444
12	9	Si4b4	B4b4	310	310	1	8	556	99	96	n'ol	1.555556
13	9	Do5#4	C5#4	322	322	1	8	556	95	96		1.666667
14	9	La4	A4	305	305	1	4	1111	95	96	du 	1.888889
15	9			-1	-1	1	8	556	100	0		2
16	53			0	0	0	0	0	0	0		2
17	9	Re5	D5	327	327	1	8	556	95	96	ba	2.111111
18	9	Re5	D5	327	327	3	8	1667	95	96	na 	2.444444
19	9	Re5	D5	327	327	1	8	556	99	96	n'ol	2.555556
20	8	Mi5	E5	336	336	0	0	0	99	96		2.555556
21	9	Re5	D5	327	327	1	16	278	99	96		2.611111
22	9	Do5#4	C5#4	322	322	1	16	278	95	96		2.666667
23	9	Re5	D5	327	327	1	4	1111	95	96	du 	2.888889
24	9			-1	-1	1	8	556	100	0		3
25	53			0	0	0	0	0	0	0		3
26	9	Re5	D5	327	327	1	8	556	95	96	ba	3.111111
27	9	La5	A5	358	358	1	4	1111	99	96	na 	3.333333
28	9	Sol5	G5	349	349	1	16	278	99	96		3.388889
29	9	Fa5#4	F5#4	344	344	1	16	278	95	96		3.444444
30	9	Fa5#4	F5#4	344	344	3	32	417	99	96	n'ol	3.527778
31	9	Mi5	E5	336	336	1	32	139	99	96		3.555556
32	9	Re5	D5	327	327	1	8	556	99	96		3.666667
33	53			0	0	0	0	0	0	0		3.666667
34	9	Mi5	E5	336	336	1	16	278	99	96		3.722222
35	9	Fa5	F5	340	340	1	16	278	99	96		3.777778
36	9	Mi5	E5	336	336	1	16	278	99	96		3.833333
37	9	Fa5	F5	340	340	1	16	278	99	96		3.888889
38	9	Mi5	E5	336	336	1	16	278	99	96		3.944444
39	9	Re5	D5	327	327	1	16	278	95	96		4
40	9	Re5	D5	327	327	3	8	1667	95	96	du  	4.333333
41	53			0	0	0	0	0	0	0		4.333333
42	9	Mi5	E5	336	336	1	16	278	95	96	SAZ 	4.388889
43	9	Fa5	F5	340	340	1	16	278	95	96	.	4.444445
44	9	Mi5	E5	336	336	1	16	278	95	96	.	4.5
45	9	Re5	D5	327	327	1	16	278	95	96	.	4.555555
46	9	Do5#4	C5#4	322	322	1	16	278	95	96	.	4.611111
47	9	Si4b4	B4b4	310	310	1	16	278	95	96	.	4.666667
48	9	La4	A4	305	305	3	8	1667	95	96	.	5
49	53			0	0	0	0	0	0	0		5
50	9			-1	-1	1	8	556	100	0		5.111111
51	9	La4	A4	305	305	1	4	1111	95	96	Bil	5.333333
52	9	Do5#4	C5#4	322	322	1	8	556	95	96	mi	5.444445
53	9	Si4b4	B4b4	310	310	1	8	556	99	96	yo	5.555555
54	9	Do5#4	C5#4	322	322	1	8	556	95	96		5.666667
55	9	La4	A4	305	305	1	4	1111	95	96	rum 	5.888889
56	9			-1	-1	1	8	556	100	0		6
57	53			0	0	0	0	0	0	0		6
58	9	La4	A4	305	305	1	8	556	95	96	ba	6.111111
59	9	La4	A4	305	305	1	4	1111	99	96	na 	6.333333
60	9	Do5#4	C5#4	322	322	1	8	556	95	96		6.444445
61	9	Si4b4	B4b4	310	310	1	8	556	99	96	n'ol	6.555555
62	9	Do5#4	C5#4	322	322	1	8	556	95	96		6.666667
63	9	La4	A4	305	305	1	4	1111	95	96	du 	6.888889
64	9			-1	-1	1	8	556	100	0		7
65	53			0	0	0	0	0	0	0		7
66	9	Re5	D5	327	327	1	8	556	95	96	ba	7.111111
67	9	Re5	D5	327	327	3	8	1667	95	96	na 	7.444445
68	9	Re5	D5	327	327	1	8	556	99	96	n'ol	7.555555
69	8	Mi5	E5	336	336	0	0	0	99	96		7.555555
70	9	Re5	D5	327	327	1	16	278	99	96		7.611111
71	9	Do5#4	C5#4	322	322	1	16	278	95	96		7.666667
72	9	Re5	D5	327	327	1	4	1111	95	96	du 	7.888889
73	9			-1	-1	1	8	556	100	0		8
74	53			0	0	0	0	0	0	0		8
75	9	Re5	D5	327	327	1	8	556	95	96	ba	8.111111
76	9	La5	A5	358	358	1	4	1111	99	96	na 	8.333333
77	9	Sol5	G5	349	349	1	16	278	99	96		8.388889
78	9	Fa5#4	F5#4	344	344	1	16	278	95	96		8.444445
79	9	Fa5#4	F5#4	344	344	3	32	417	99	96	n'ol	8.527778
80	9	Mi5	E5	336	336	1	32	139	99	96		8.555555
81	9	Re5	D5	327	327	1	8	556	99	96		8.666667
82	53			0	0	0	0	0	0	0		8.666667
83	9	Mi5	E5	336	336	1	16	278	99	96		8.722222
84	9	Fa5	F5	340	340	1	16	278	99	96		8.777778
85	9	Mi5	E5	336	336	1	16	278	99	96		8.833333
86	9	Fa5	F5	340	340	1	16	278	99	96		8.888889
87	9	Mi5	E5	336	336	1	16	278	99	96		8.944445
88	9	Re5	D5	327	327	1	16	278	95	96		9
89	9	Re5	D5	327	327	3	8	1667	95	96	du  	9.333333
90	53			0	0	0	0	0	0	0		9.333333
91	9	Mi5	E5	336	336	1	16	278	95	96	SAZ 	9.388889
92	9	Fa5	F5	340	340	1	16	278	95	96	.	9.444445
93	9	Mi5	E5	336	336	1	16	278	95	96	.	9.5
94	9	Re5	D5	327	327	1	16	278	95	96	.	9.555555
95	9	Do5#4	C5#4	322	322	1	16	278	95	96	.	9.611111
96	9	Re5	D5	327	327	1	16	278	95	96	.	9.666667
97	9	Mi5	E5	336	336	3	8	1667	95	96	.	10
98	53			0	0	0	0	0	0	0		10
99	9			-1	-1	1	8	556	100	0		10.11111
100	9	Re5	D5	327	327	1	4	1111	95	96	Dî	10.33333
101	9	Mi5	E5	336	336	1	8	556	95	96	de	10.44444
102	9	Mi5	E5	336	336	1	4	1111	95	96	le	10.66667
103	9	Mi5	E5	336	336	3	8	1667	95	96	rim 	11
104	53			0	0	0	0	0	0	0		11
105	9			-1	-1	1	8	556	100	0		11.11111
106	9	Mi5	E5	336	336	1	8	556	99	96	kan	11.22222
