Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	2	1818	95	96	.	0.2222222
2	9			-1	-1	1	4	909	100	0		0.3333333
3	53			0	0	0	0	0	0	0		0.3333333
4	9	Do5#4	C5#4	322	322	1	8	455	95	96	Se	0.3888889
5	9	Re5	D5	327	327	1	8	455	95	96	ni 	0.4444444
6	9	Mi5	E5	336	336	1	16	227	99	96	sev	0.4722222
7	9	Re5	D5	327	327	1	16	227	99	90		0.5
8	9	Re5	D5	327	327	1	16	227	99	96		0.5277778
9	9	Do5#4	C5#4	322	322	1	16	227	99	90		0.5555556
10	9	Re5	D5	327	327	1	4	909	95	96		0.6666667
11	53			0	0	0	0	0	0	0		0.6666667
12	9	Mi5	E5	336	336	1	8	455	99	96	da 	0.7222222
13	8	Sol5	G5	349	349	0	0	0	99	96		0.7222222
14	9	Fa5	F5	340	340	1	16	227	99	96		0.75
15	9	Mi5	E5	336	336	1	16	227	99	90		0.7777778
16	9	Re5	D5	327	327	1	8	455	99	96		0.8333333
17	9	Do5#4	C5#4	322	322	1	8	455	99	96		0.8888889
18	9	Re5	D5	327	327	1	8	455	99	96		0.9444444
19	9	Mi5	E5	336	336	1	8	455	99	96		1
20	9	Fa5	F5	340	340	1	8	455	99	96		1.055556
21	9	Mi5	E5	336	336	1	16	227	99	96		1.083333
22	9	Re5	D5	327	327	1	16	227	99	90		1.111111
23	9	Do5#4	C5#4	322	322	1	8	455	99	96		1.166667
24	9	Si4b4	B4b4	310	310	1	16	227	99	96		1.194444
25	9	La4	A4	305	305	1	16	227	99	90		1.222222
26	9	La4	A4	305	305	1	4	909	95	96		1.333333
27	53			0	0	0	0	0	0	0		1.333333
28	9	Do5#4	C5#4	322	322	1	8	455	95	96	çi	1.388889
29	9	Re5	D5	327	327	1	8	455	95	96	çe	1.444444
30	9	Re5	D5	327	327	1	8	455	99	96	ðim 	1.5
31	9	Do5#4	C5#4	322	322	1	16	227	99	96		1.527778
32	9	Si4b4	B4b4	310	310	1	16	227	99	90		1.555556
33	9	Do5#4	C5#4	322	322	1	8	455	99	96		1.611111
34	9	Si4b4	B4b4	310	310	1	16	227	99	96		1.638889
35	9	La4	A4	305	305	1	16	227	95	90		1.666667
36	9	La4	A4	305	305	1	2	1818	99	96	tâc_	1.888889
37	53			0	0	0	0	0	0	0		1.888889
38	9	Sol4	G4	296	296	1	8	455	99	96		1.944444
39	9	La4	A4	305	305	1	16	227	99	96		1.972222
40	9	Si4b4	B4b4	310	310	1	16	227	99	90		2
41	9	Do5#4	C5#4	322	322	1	8	455	99	96		2.055556
