Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	556	99	96	Has	0.05
2	9	La4	A4	305	305	3	8	1667	95	96		0.2
3	53			0	0	0	0	0	0	0		0.2
4	9	Mi5	E5	336	336	3	16	833	99	96	ret 	0.275
5	9	Re5	D5	327	327	1	16	278	99	96		0.3
6	9	Do5#4	C5#4	322	322	1	16	278	99	96		0.325
7	9	Si4b4	B4b4	310	310	1	16	278	99	96		0.35
8	9	Do5#4	C5#4	322	322	1	16	278	99	96		0.375
9	9	Re5	D5	327	327	1	16	278	99	96		0.4
10	9	Mi5	E5	336	336	1	16	278	99	96		0.425
11	9	Fa5#4	F5#4	344	344	1	16	278	99	96		0.45
12	9	Sol5	G5	349	349	1	16	278	99	96		0.475
13	9	Fa5	F5	340	340	1	16	278	99	96		0.5
14	9	Mi5	E5	336	336	1	16	278	99	96		0.525
15	9	Re5	D5	327	327	1	16	278	99	96		0.55
16	9	Do5#4	C5#4	322	322	1	16	278	99	96		0.575
17	9	Si4b4	B4b4	310	310	1	16	278	95	96		0.6
18	53			0	0	0	0	0	0	0		0.6
19	9	Do5#4	C5#4	322	322	1	8	556	95	96	o	0.65
20	9	Re5	D5	327	327	1	8	556	95	96	du 	0.7
21	9	Do5#4	C5#4	322	322	1	16	278	99	96	yak	0.725
22	9	Si4b4	B4b4	310	310	1	16	278	99	96		0.75
23	9	Si4b4	B4b4	310	310	1	16	278	99	96		0.775
24	9	La4	A4	305	305	1	16	278	99	96		0.8
25	9	La4	A4	305	305	1	2	2222	95	96		1
26	53			0	0	0	0	0	0	0		1
27	9	Re5	D5	327	327	1	16	278	99	96	tý 	1.025
28	9	Do5#4	C5#4	322	322	1	16	278	99	96		1.05
29	9	Re5	D5	327	327	1	16	278	99	96		1.075
30	9	Mi5	E5	336	336	1	16	278	99	96		1.1
31	9	Fa5#4	F5#4	344	344	3	32	417	99	96		1.1375
32	9	Mi5	E5	336	336	1	32	139	99	96		1.15
33	9	Fa5#4	F5#4	344	344	1	16	278	99	96		1.175
34	9	Sol5	G5	349	349	1	16	278	99	96		1.2
35	9	La5	A5	358	358	1	16	278	99	96		1.225
36	9	Sol5	G5	349	349	1	16	278	99	96		1.25
37	9	Fa5#4	F5#4	344	344	1	16	278	99	96		1.275
38	9	Mi5	E5	336	336	1	16	278	99	96		1.3
39	9	Fa5#4	F5#4	344	344	1	16	278	99	96		1.325
40	9	Sol5	G5	349	349	1	16	278	99	96		1.35
41	9	Fa5#4	F5#4	344	344	1	16	278	99	96		1.375
42	9	Mi5	E5	336	336	1	16	278	99	96		1.4
43	9	Re5	D5	327	327	1	16	278	99	96		1.425
44	9	Do5#4	C5#4	322	322	1	16	278	99	96		1.45
45	9	Re5	D5	327	327	1	16	278	99	96		1.475
46	9	Mi5	E5	336	336	1	16	278	99	96		1.5
47	9	Fa5#4	F5#4	344	344	1	16	278	99	96		1.525
48	9	Sol5	G5	349	349	1	16	278	99	96		1.55
49	9	La5	A5	358	358	1	16	278	99	96		1.575
50	9	Sol5	G5	349	349	1	16	278	95	96		1.6
51	9	Sol5	G5	349	349	1	16	278	99	96	ci	1.625
52	9	Fa5#4	F5#4	344	344	1	16	278	95	96		1.65
53	9	Fa5#4	F5#4	344	344	1	16	278	99	96	ðe	1.675
54	9	Mi5	E5	336	336	1	16	278	95	96		1.7
55	9	Mi5	E5	336	336	1	2	2222	95	96	rim 	1.9
56	9			-1	-1	1	4	1111	100	0		2
57	53			0	0	0	0	0	0	0		2
58	9	Sol5	G5	349	349	1	8	556	99	96	ey 	2.05
59	9	Mi5	E5	336	336	1	8	556	99	96		2.1
60	9	Fa5#4	F5#4	344	344	1	8	556	99	96		2.15
61	9	Re5	D5	327	327	1	8	556	99	96		2.2
62	9	Mi5	E5	336	336	1	16	278	99	96		2.225
63	9	Fa5#4	F5#4	344	344	1	16	278	99	96		2.25
64	9	Sol5	G5	349	349	1	16	278	99	96		2.275
65	9	Mi5	E5	336	336	1	16	278	99	96		2.3
66	9	Fa5#4	F5#4	344	344	1	4	1111	95	96		2.4
67	9			-1	-1	1	8	556	100	0		2.45
68	53			0	0	0	0	0	0	0		2.45
69	9	Mi5	E5	336	336	1	16	278	99	96	ey 	2.475
70	9	Fa5#4	F5#4	344	344	1	16	278	99	96		2.5
71	9	Sol5	G5	349	349	1	16	278	99	96		2.525
72	9	La5	A5	358	358	1	16	278	99	96		2.55
73	9	Sol5	G5	349	349	1	16	278	99	96		2.575
74	9	Fa5#4	F5#4	344	344	1	16	278	95	96		2.6
75	9	La5	A5	358	358	1	8	556	95	96	rûh_	2.65
76	9	Sol5	G5	349	349	1	16	278	99	96	i 	2.675
77	9	Fa5#4	F5#4	344	344	1	16	278	95	96		2.7
78	9	Sol5	G5	349	349	1	8	556	99	96	â	2.75
79	9	Fa5#4	F5#4	344	344	1	16	278	99	96		2.775
80	9	Mi5	E5	336	336	1	16	278	99	96		2.8
81	9	Mi5	E5	336	336	1	4	1111	99	96		2.9
82	53			0	0	0	0	0	0	0		2.9
83	9	La5	A5	358	358	1	16	278	99	96		2.925
84	9	Sol5	G5	349	349	1	16	278	99	96		2.95
85	9	Fa5#4	F5#4	344	344	1	16	278	99	96		2.975
86	9	Mi5	E5	336	336	1	16	278	99	96		3
87	9	Re5	D5	327	327	1	4	1111	95	96		3.1
88	9			-1	-1	1	8	556	100	0		3.15
89	53			0	0	0	0	0	0	0		3.15
90	9	Do5#4	C5#4	322	322	1	16	278	99	96	lim 	3.175
91	9	Re5	D5	327	327	1	16	278	99	96		3.2
92	9	Mi5	E5	336	336	1	16	278	99	96		3.225
93	9	Fa5	F5	340	340	1	16	278	99	96		3.25
94	9	Mi5	E5	336	336	1	16	278	99	96		3.275
95	9	Re5	D5	327	327	1	16	278	99	96		3.3
96	9	Do5#4	C5#4	322	322	1	16	278	99	96		3.325
97	9	Re5	D5	327	327	1	16	278	99	96		3.35
98	9	Do5#4	C5#4	322	322	1	16	278	99	96		3.375
99	9	Si4b4	B4b4	310	310	1	16	278	99	96		3.4
100	9	La4	A4	305	305	1	16	278	99	96		3.425
101	9	Sol5	G5	349	349	1	16	278	99	96		3.45
102	9	Fa5#4	F5#4	344	344	1	16	278	99	96		3.475
103	9	Mi5	E5	336	336	1	16	278	99	96		3.5
104	9	Re5	D5	327	327	3	32	417	99	96		3.5375
105	9	Do5#4	C5#4	322	322	1	32	139	99	96		3.55
106	9	Si4b4	B4b4	310	310	1	8	556	95	96		3.6
107	53			0	0	0	0	0	0	0		3.6
108	9	Do5#4	C5#4	322	322	1	8	556	95	96	a 	3.65
109	9	Re5	D5	327	327	1	8	556	95	96	ca	3.7
110	9	Do5#4	C5#4	322	322	3	32	417	99	96	ným  	3.7375
111	9	Si4b4	B4b4	310	310	1	32	139	99	96		3.75
112	9	La4	A4	305	305	1	16	278	99	96		3.775
113	9	Do5#4	C5#4	322	322	1	16	278	99	96		3.8
114	9	Si4b4	B4b4	310	310	1	2	2222	95	96		4
115	53			0	0	0	0	0	0	0		4
116	54			0	0	0	0	0	0	0	hüseyni@mi 	4
117	9	Sol4	G4	296	296	1	8	556	99	96	Bir 	4.05
118	9	La4	A4	305	305	1	4	1111	99	96		4.15
119	9	Re5	D5	327	327	1	8	556	95	96		4.2
120	9	Re5	D5	327	327	1	8	556	99	96	ker	4.25
121	9	Do5	C5	318	318	1	16	278	99	96		4.275
122	9	Si4b1	B4b1	313	313	1	16	278	99	96		4.3
123	9	Si4b1	B4b1	313	313	1	16	278	99	96		4.325
124	9	Do5#4	C5#4	322	322	1	16	278	99	96		4.35
125	9	re5	D5	327	327	1	16	278	99	96		4.375
126	9	Mi5	E5	336	336	1	16	278	99	96		4.4
127	9	Mi5	E5	336	336	1	16	278	99	96		4.425
128	9	Re5	D5	327	327	1	16	278	99	96		4.45
129	9	Do5	C5	318	318	1	16	278	99	96		4.475
