Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	8	278	95	96		0.2857143
2	9	La4	A4	305	305	1	8	278	95	96		0.5714286
3	9	La4	A4	305	305	1	16	139	95	96		0.7142857
4	9	La4	A4	305	305	1	16	139	95	96		0.8571429
5	9	La4	A4	305	305	1	16	139	95	96		1
6	53			0	0	0	0	0	0	0		1
7	9	La4	A4	305	305	1	8	278	95	96		1.285714
8	9	La4	A4	305	305	1	8	278	95	96		1.571429
9	9	La4	A4	305	305	1	16	139	95	96		1.714286
10	9	La4	A4	305	305	1	16	139	95	96		1.857143
11	9	La4	A4	305	305	1	16	139	95	96		2
12	53			0	0	0	0	0	0	0		2
13	9	La4	A4	305	305	1	8	278	95	96		2.285714
14	9	La4	A4	305	305	1	8	278	95	96		2.571429
15	9	La4	A4	305	305	1	16	139	95	96		2.714286
16	9	La4	A4	305	305	1	16	139	95	96		2.857143
17	9	La4	A4	305	305	1	16	139	95	96		3
18	53			0	0	0	0	0	0	0		3
19	9	La4	A4	305	305	1	8	278	95	96		3.285714
20	9	La4	A4	305	305	1	8	278	95	96		3.571429
21	9	La4	A4	305	305	1	16	139	95	96		3.714286
22	9	La4	A4	305	305	1	16	139	95	96		3.857143
23	9	La4	A4	305	305	1	16	139	95	96		4
24	53			0	0	0	0	0	0	0		4
25	9	Do5#3	C5#4	321	322	1	8	278	95	96		4.285714
26	9	Si4b4	B4b4	310	310	1	16	139	95	96		4.428571
27	9	Do5#3	C5#4	321	322	1	16	139	95	96		4.571429
28	9	Si4b4	B4b4	310	310	1	16	139	95	96		4.714286
29	9	La4	A4	305	305	1	16	139	95	96		4.857143
30	9	Sol4	G4	296	296	1	16	139	95	96		5
31	9	La4	A4	305	305	1	8	278	95	96		5.285714
32	9	Si4b4	B4b4	310	310	1	8	278	95	96		5.571429
33	9	Do5#3	C5#4	321	322	1	16	139	95	96		5.714286
34	9	Re5	D5	327	327	1	16	139	95	96		5.857143
35	9	Mi5	E5	336	336	1	16	139	95	96		6
36	53			0	0	0	0	0	0	0		6
37	9	Re5	D5	327	327	1	16	139	95	96		6.142857
38	9	Do5#3	C5#4	321	322	1	16	139	95	96		6.285714
39	9	Si4b4	B4b4	310	310	1	16	139	95	96		6.428571
40	9	Do5#3	C5#4	321	322	1	16	139	95	96		6.571429
41	9	Si4b4	B4b4	310	310	1	16	139	95	96		6.714286
42	9	La4	A4	305	305	1	16	139	95	96		6.857143
43	9	Sol4	G4	296	296	1	16	139	95	96		7
44	9	La4	A4	305	305	1	8	278	95	96		7.285714
45	9	La4	A4	305	305	1	8	278	95	96		7.571429
46	9	La4	A4	305	305	3	16	417	95	96		8
47	53			0	0	0	0	0	0	0		8
48	9	Do5#3	C5#4	321	322	1	8	278	95	96		8.285714
49	9	Si4b4	B4b4	310	310	1	16	139	95	96		8.428572
50	9	Do5#3	C5#4	321	322	1	16	139	95	96		8.571428
51	9	Si4b4	B4b4	310	310	1	16	139	95	96		8.714286
52	9	La4	A4	305	305	1	16	139	95	96		8.857142
53	9	Sol4	G4	296	296	1	16	139	95	96		9
54	9	La4	A4	305	305	1	8	278	95	96		9.285714
55	9	Si4b4	B4b4	310	310	1	8	278	95	96		9.571428
56	9	Do5#3	C5#4	321	322	1	16	139	95	96		9.714286
57	9	Re5	D5	327	327	1	16	139	95	96		9.857142
58	9	Mi5	E5	336	336	1	16	139	95	96		10
59	53			0	0	0	0	0	0	0		10
60	9	Re5	D5	327	327	1	16	139	95	96		10.14286
61	9	Do5#3	C5#4	321	322	1	16	139	95	96		10.28571
62	9	Si4b4	B4b4	310	310	1	16	139	95	96		10.42857
63	9	Do5#3	C5#4	321	322	1	16	139	95	96		10.57143
64	9	Si4b4	B4b4	310	310	1	16	139	95	96		10.71429
65	9	La4	A4	305	305	1	16	139	95	96		10.85714
66	9	Sol4	G4	296	296	1	16	139	95	96		11
67	9	La4	A4	305	305	1	8	278	95	96		11.28571
68	9	La4	A4	305	305	1	8	278	95	96		11.57143
69	9	La4	A4	305	305	3	16	417	95	96		12
70	53			0	0	0	0	0	0	0		12
71	9	La4	A4	305	305	1	8	278	95	96		12.28571
72	9	Re5	D5	327	327	1	16	139	95	96		12.42857
73	9	Do5#3	C5#4	321	322	1	16	139	95	96		12.57143
74	9	Si4b4	B4b4	310	310	1	16	139	95	96		12.71429
75	9	La4	A4	305	305	1	16	139	95	96		12.85714
76	9	Si4b4	B4b4	310	310	1	16	139	95	96		13
77	9	Do5#3	C5#4	321	322	1	8	278	95	96		13.28571
78	9	Re5	D5	327	327	1	8	278	95	96		13.57143
79	9	Mi5	E5	336	336	1	16	139	95	96		13.71429
80	9	Re5	D5	327	327	1	16	139	95	96		13.85714
81	9	Mi5	E5	336	336	1	16	139	95	96		14
82	53			0	0	0	0	0	0	0		14
83	9	La4	A4	305	305	1	8	278	95	96		14.28571
84	9	Re5	D5	327	327	1	16	139	95	96		14.42857
85	9	Do5#3	C5#4	321	322	1	16	139	95	96		14.57143
86	9	Si4b4	B4b4	310	310	1	16	139	95	96		14.71429
87	9	La4	A4	305	305	1	16	139	95	96		14.85714
88	9	Sol4	G4	296	296	1	16	139	95	96		15
89	9	Re5	D5	327	327	1	8	278	95	96		15.28571
90	9	Do5#3	C5#4	321	322	1	16	139	95	96		15.42857
91	9	Mi5	E5	336	336	1	16	139	95	96		15.57143
92	9	Re5	D5	327	327	1	8	278	95	96		15.85714
93	9			-1	-1	1	16	139	100	0		16
94	53			0	0	0	0	0	0	0		16
95	9	La4	A4	305	305	1	8	278	95	96		16.28572
96	9	Re5	D5	327	327	1	16	139	95	96		16.42857
97	9	Do5#3	C5#4	321	322	1	16	139	95	96		16.57143
98	9	Si4b4	B4b4	310	310	1	16	139	95	96		16.71428
99	9	La4	A4	305	305	1	16	139	95	96		16.85714
100	9	Si4b4	B4b4	310	310	1	16	139	95	96		17
101	9	Do5#3	C5#4	321	322	1	8	278	95	96		17.28572
102	9	Re5	D5	327	327	1	8	278	95	96		17.57143
103	9	Mi5	E5	336	336	1	16	139	95	96		17.71428
104	9	Re5	D5	327	327	1	16	139	95	96		17.85714
105	9	Mi5	E5	336	336	1	16	139	95	96		18
106	53			0	0	0	0	0	0	0		18
107	9	La4	A4	305	305	1	8	278	95	96		18.28572
108	9	Re5	D5	327	327	1	16	139	95	96		18.42857
109	9	Do5#3	C5#4	321	322	1	16	139	95	96		18.57143
110	9	Si4b4	B4b4	310	310	1	16	139	95	96		18.71428
111	9	La4	A4	305	305	1	16	139	95	96		18.85714
112	9	Sol4	G4	296	296	1	16	139	95	96		19
113	9	La4	A4	305	305	1	8	278	50	96		19.28572
114	9	La4	A4	305	305	1	8	278	50	96		19.57143
115	9	La4	A4	305	305	1	8	278	95	96		19.85714
116	9			-1	-1	1	16	139	100	0		20
117	53			0	0	0	0	0	0	0		20
118	9	Re5	D5	327	327	1	8	278	95	96		20.28572
119	9	Re5	D5	327	327	1	16	139	95	96		20.42857
120	9	La4	A4	305	305	1	16	139	95	96		20.57143
121	9	Re5	D5	327	327	1	8	278	95	96		20.85714
122	9	Re5	D5	327	327	1	16	139	95	96		21
123	53			0	0	0	0	0	0	0		21
124	9	Mi5	E5	336	336	1	8	278	95	96		21.28572
125	9	Mi5	E5	336	336	1	16	139	95	96		21.42857
126	9	Re5	D5	327	327	1	16	139	95	96		21.57143
127	9	Mi5	E5	336	336	1	8	278	95	96		21.85714
128	9	La4	A4	305	305	1	16	139	95	96		22
129	53			0	0	0	0	0	0	0		22
130	54			0	0	0	0	0	0	0	niþaburek@si4	22
131	7	La5	A5	358	358	1	8	278	95	96		22.28572
132	9	Sol5	G5	349	349	1	16	139	95	96		22.42857
133	9	Fa5#3	F5#4	343	344	1	16	139	95	96		22.57143
134	9	Fa5#3	F5#4	343	344	1	16	139	95	96		22.71428
135	9	Mi5	E5	336	336	1	16	139	95	96		22.85714
136	9	Re5	D5	327	327	1	16	139	95	96		23
137	53			0	0	0	0	0	0	0		23
138	12	Fa5#3	F5#4	343	344	1	8	278	95	96		23.28572
139	10	Mi5	E5	336	336	1	16	139	95	96		23.42857
140	8	Fa5#3	F5#4	343	344	0	0	0	95	96		23.42857
141	10	Re5	D5	327	327	1	16	139	95	96		23.57143
142	8	Mi5	E5	336	336	0	0	0	95	96		23.57143
143	10	Do5#3	C5#4	321	322	1	16	139	95	96		23.71428
144	8	Re5	D5	327	327	0	0	0	95	96		23.71428
145	10	Si4	B4	314	314	1	16	139	95	96		23.85714
146	8	Do5#3	C5#4	321	322	0	0	0	95	96		23.85714
147	9	La4	A4	305	305	1	16	139	95	96		24
148	55			0	0	0	0	0	0	0		24
149	53			0	0	0	0	0	0	0		24
150	9	Re5	D5	327	327	1	8	278	95	96		24.28572
151	9	Re5	D5	327	327	1	16	139	95	96		24.42857
152	9	La4	A4	305	305	1	16	139	95	96		24.57143
153	9	Re5	D5	327	327	1	8	278	95	96		24.85714
