Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La4	A4	305	305	1	4	909	95	96	.	0.2222222
2	53			0	0	0	0	0	0	0		0.2222222
3	9	Do5#4	C5#4	322	322	1	8	455	95	96	Be	0.3333333
4	9	Re5	D5	327	327	1	8	455	95	96	ni 	0.4444444
5	9	Mi5	E5	336	336	1	4	909	95	96	sev 	0.6666667
6	53			0	0	0	0	0	0	0		0.6666667
7	9	La4	A4	305	305	1	8	455	95	96	SAZ	0.7777778
8	9	Do5#4	C5#4	322	322	1	8	455	95	96	.	0.8888889
9	9	Mi5	E5	336	336	1	8	455	95	96	. 	1
10	53			0	0	0	0	0	0	0		1
11	9	Sol5	G5	349	349	1	16	227	99	96	ru	1.055556
12	9	Fa5	F5	340	340	1	16	227	99	96		1.111111
13	9	Mi5	E5	336	336	1	16	227	99	96		1.166667
14	9	Re5	D5	327	327	1	16	227	95	96		1.222222
15	9	Do5#4	C5#4	322	322	1	16	227	99	96	hu	1.277778
16	9	Si4b4	B4b4	310	310	1	16	227	95	96		1.333333
17	9	Si4b4	B4b4	310	310	1	16	227	99	96	mu 	1.388889
18	9	La4	A4	305	305	1	16	227	95	96		1.444444
19	9	La4	A4	305	305	5	8	2273	95	96	sar 	2
20	53			0	0	0	0	0	0	0		2
21	9	La5	A5	358	358	1	4	909	95	96	kal	2.222222
22	9	Sol5	G5	349	349	1	8	455	95	96	bi	2.333333
23	9	Fa5#4	F5#4	344	344	1	8	455	95	96	me 	2.444444
24	9	Mi5	E5	336	336	1	8	455	99	96	yas	2.555556
25	9	Re5	D5	327	327	1	8	455	95	96		2.666667
26	9	Mi5	E5	336	336	1	8	455	99	96	lan 	2.777778
27	9	Fa5#4	F5#4	344	344	1	8	455	99	96		2.888889
28	9	Sol5	G5	349	349	1	8	455	95	96		3
29	54			0	0	0	0	0	0	0	hicaz-uzzal@mi5	3
30	9	La5	A5	358	358	1	8	455	99	96		3.111111
31	9	Si5	B5	367	367	1	16	227	99	96		3.166667
32	9	Sol5	G5	349	349	1	16	227	95	96		3.222222
33	9	Sol5	G5	349	349	1	16	227	99	96	be	3.277778
34	9	Fa5#4	F5#4	344	344	1	16	227	95	96		3.333333
35	9	Fa5#4	F5#4	344	344	1	16	227	99	96	ni 	3.388889
36	9	Mi5	E5	336	336	1	16	227	95	96		3.444444
37	9	Mi5	E5	336	336	1	4	909	95	96	sev  	3.666667
38	55			0	0	0	0	0	0	0		3.666667
39	53			0	0	0	0	0	0	0		3.666667
40	9	Mi5	E5	336	336	1	16	227	95	96	SAZ	3.722222
41	9	Fa5	F5	340	340	1	16	227	95	96	.	3.777778
42	9	Mi5	E5	336	336	1	16	227	95	96	.	3.833333
43	9	Re5	D5	327	327	1	16	227	95	96	.	3.888889
44	9	Do5#4	C5#4	322	322	1	16	227	95	96	.	3.944444
45	9	Si4b4	B4b4	310	310	1	16	227	95	96	.  	4
46	1	La4	A4	305	305	1	4	909	95	96	.	4.222222
47	53			0	0	0	0	0	0	0		4.222222
48	9	Do5#4	C5#4	322	322	1	8	455	95	96	Be	4.333333
49	9	Re5	D5	327	327	1	8	455	95	96	ni 	4.444445
50	9	Mi5	E5	336	336	1	4	909	95	96	sev 	4.666667
51	53			0	0	0	0	0	0	0		4.666667
52	9	La4	A4	305	305	1	8	455	95	96	SAZ	4.777778
53	9	Do5#4	C5#4	322	322	1	8	455	95	96	.	4.888889
54	9	Mi5	E5	336	336	1	8	455	95	96	. 	5
