Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	La4	A4	305	305	1	4	1000	95	96	SAZ	0.2222222
2	53			0	0	0	0	0	0	0		0.2222222
3	9	Do5#3	C5#4	321	322	3	16	750	95	96	Has	0.3888889
4	9	Re5	D5	327	327	1	16	250	95	96	ta	0.4444444
5	9	Re5	D5	327	327	1	4	1000	95	96	yým 	0.6666667
6	53			0	0	0	0	0	0	0		0.6666667
7	9	Re5	D5	327	327	1	24	167	95	96	SAZ	0.7037037
8	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	0.7407407
9	9	Re5	D5	327	327	1	24	167	95	96	.	0.7777778
10	9	Mi5	E5	336	336	1	24	167	95	96	.	0.8148148
11	9	Mi5	E5	336	336	1	24	167	95	96	.	0.8518519
12	9	Re5	D5	327	327	1	24	167	95	96	.	0.8888889
13	9	Re5	D5	327	327	1	8	500	95	96	.	1
14	53			0	0	0	0	0	0	0		1
15	9	Do5#3	C5#4	321	322	1	8	500	99	96	ya	1.111111
16	9	Si4b4	B4b4	310	310	1	16	250	99	96		1.166667
17	9	Do5#3	C5#4	321	322	1	16	250	95	96		1.222222
18	7	Re5	D5	327	327	1	8	500	95	96	þý	1.333333
19	9	Do5#3	C5#4	321	322	1	16	250	99	96	yo	1.388889
20	9	Si4b4	B4b4	310	310	1	16	250	95	96		1.444444
21	9	La4	A4	305	305	1	4	1000	95	96	rum 	1.666667
22	53			0	0	0	0	0	0	0		1.666667
23	9	La4	A4	305	305	1	24	167	95	96	SAZ	1.703704
24	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	1.740741
25	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	1.777778
26	9	Mi5	E5	336	336	1	24	167	95	96	.	1.814815
27	9	Re5	D5	327	327	1	24	167	95	96	.	1.851852
28	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	1.888889
29	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	1.925926
30	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	1.962963
31	9	La4	A4	305	305	1	24	167	95	96	.	2
32	9	La4	A4	305	305	1	4	1000	95	96	.	2.222222
33	53			0	0	0	0	0	0	0		2.222222
34	9	Do5#3	C5#4	321	322	1	8	500	95	96	gö	2.333333
35	7	Re5	D5	327	327	1	8	500	95	96	rün	2.444444
36	9	Mi5	E5	336	336	1	4	1000	50	96	mez 	2.666667
37	53			0	0	0	0	0	0	0		2.666667
38	9	Mi5	E5	336	336	3	32	375	99	96	ha	2.75
39	9	Re5	D5	327	327	1	32	125	99	96		2.777778
40	9	Do5#3	C5#4	321	322	1	16	250	99	96		2.833333
41	9	Re5	D5	327	327	1	16	250	99	96		2.888889
42	9	Mi5	E5	336	336	1	16	250	99	96		2.944444
43	9	Fa5#2	F5#1	342	341	1	16	250	95	96		3
44	9	Sol5	G5	349	349	1	16	250	99	96	yâ	3.055556
45	9	La5	A5	358	358	1	16	250	99	96		3.111111
46	9	Fa5#1	F5#1	341	341	1	16	250	99	96		3.166667
47	9	Mi5	E5	336	336	1	16	250	95	96		3.222222
48	9	Mi5	E5	336	336	1	16	250	99	96	liy	3.277778
49	9	Re5	D5	327	327	1	16	250	99	96		3.333333
50	9	Re5	D5	327	327	1	16	250	99	96		3.388889
51	9	Do5#4	C5#4	322	322	1	16	250	95	96		3.444444
52	9	Re5	D5	327	327	1	4	1000	95	96	le  	3.666667
53	53			0	0	0	0	0	0	0		3.666667
54	9	Do5#3	C5#4	321	322	1	24	167	95	96	SAZ	3.703704
55	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	3.740741
56	9	La4	A4	305	305	1	24	167	95	96	.	3.777778
57	9	Mi5	E5	336	336	1	24	167	95	96	.	3.814815
58	9	Re5	D5	327	327	1	24	167	95	96	.	3.851852
59	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	3.888889
60	9	Si4b4	B4b4	310	310	1	16	250	95	96	.	3.944444
61	9	La4	A4	305	305	1	16	250	95	96	.	4
62	1	La4	A4	305	305	1	4	1000	95	96	SAZ	4.222222
63	53			0	0	0	0	0	0	0		4.222222
64	9	Do5#3	C5#4	321	322	3	16	750	95	96	Has	4.388889
65	9	Re5	D5	327	327	1	16	250	95	96	ta	4.444445
66	9	Re5	D5	327	327	1	4	1000	95	96	yým 	4.666667
67	53			0	0	0	0	0	0	0		4.666667
68	9	Re5	D5	327	327	1	24	167	95	96	SAZ	4.703704
69	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	4.740741
70	9	Re5	D5	327	327	1	24	167	95	96	.	4.777778
71	9	Mi5	E5	336	336	1	24	167	95	96	.	4.814815
72	9	Mi5	E5	336	336	1	24	167	95	96	.	4.851852
73	9	Re5	D5	327	327	1	24	167	95	96	.	4.888889
74	9	Re5	D5	327	327	1	8	500	95	96	.	5
75	53			0	0	0	0	0	0	0		5
76	9	Do5#3	C5#4	321	322	1	8	500	99	96	ya	5.111111
77	9	Si4b4	B4b4	310	310	1	16	250	99	96		5.166667
78	9	Do5#3	C5#4	321	322	1	16	250	95	96		5.222222
79	7	Re5	D5	327	327	1	8	500	95	96	þý	5.333333
80	9	Do5#3	C5#4	321	322	1	16	250	99	96	yo	5.388889
81	9	Si4b4	B4b4	310	310	1	16	250	95	96		5.444445
82	9	La4	A4	305	305	1	4	1000	95	96	rum 	5.666667
83	53			0	0	0	0	0	0	0		5.666667
84	9	La4	A4	305	305	1	24	167	95	96	SAZ	5.703704
85	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	5.740741
86	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	5.777778
87	9	Mi5	E5	336	336	1	24	167	95	96	.	5.814815
88	9	Re5	D5	327	327	1	24	167	95	96	.	5.851852
89	9	Do5#3	C5#4	321	322	1	24	167	95	96	.	5.888889
90	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	5.925926
91	9	Si4b4	B4b4	310	310	1	24	167	95	96	.	5.962963
92	9	La4	A4	305	305	1	24	167	95	96	.	6
93	9	La4	A4	305	305	1	4	1000	95	96	.	6.222222
94	53			0	0	0	0	0	0	0		6.222222
95	9	Do5#3	C5#4	321	322	1	8	500	95	96	gö	6.333333
96	7	Re5	D5	327	327	1	8	500	95	96	rün	6.444445
97	9	Mi5	E5	336	336	1	4	1000	50	96	mez 	6.666667
98	53			0	0	0	0	0	0	0		6.666667
99	9	Mi5	E5	336	336	3	32	375	99	96	ha	6.75
100	9	Re5	D5	327	327	1	32	125	99	96		6.777778
101	9	Do5#3	C5#4	321	322	1	16	250	99	96		6.833333
102	9	Re5	D5	327	327	1	16	250	99	96		6.888889
103	9	Mi5	E5	336	336	1	16	250	99	96		6.944445
104	9	Fa5#2	F5#1	342	341	1	16	250	95	96		7
105	9	Sol5	G5	349	349	1	16	250	99	96	yâ	7.055555
106	9	La5	A5	358	358	1	16	250	99	96		7.111111
107	9	Fa5#1	F5#1	341	341	1	16	250	99	96		7.166667
108	9	Mi5	E5	336	336	1	16	250	95	96		7.222222
109	9	Mi5	E5	336	336	1	16	250	99	96	liy	7.277778
110	9	Re5	D5	327	327	1	16	250	99	96		7.333333
111	9	Re5	D5	327	327	1	16	250	99	96		7.388889
112	10	Do5#3	C5#4	321	322	1	16	250	95	96		7.444445
113	8	Mi5	E5	336	336	0	0	0	95	96		7.444445
114	9	Re5	D5	327	327	1	4	1000	95	96	le  	7.666667
115	53			0	0	0	0	0	0	0		7.666667
116	9	Mi5	E5	336	336	1	24	167	95	96	SAZ	7.703704
117	9	Fa5#3	F5#4	343	344	1	24	167	95	96	.	7.740741
118	9	Sol5	G5	349	349	1	24	167	95	96	.	7.777778
119	9	Fa5	F5	340	340	1	24	167	95	96	.	7.814815
120	9	Mi5	E5	336	336	1	24	167	95	96	.	7.851852
121	9	Re5	D5	327	327	1	24	167	95	96	.	7.888889
122	9	Mi5	E5	336	336	1	16	250	95	96	.	7.944445
123	9	Do5#3	C5#4	321	322	1	16	250	95	96	.	8
124	1	Re5	D5	327	327	1	32	125	95	96	.	8.027778
125	1	Mi5	E5	336	336	1	32	125	95	96	.	8.055555
126	1	Fa5	F5	340	340	1	32	125	95	96	.	8.083333
127	1	Sol5	G5	349	349	1	32	125	95	96	.	8.111111
128	1	Mi5	E5	336	336	1	32	125	95	96	.	8.138889
129	1	Sol5	G5	349	349	1	32	125	95	96	.	8.166667
130	9	Fa5	F5	340	340	1	16	250	95	96	.	8.222222
131	53			0	0	0	0	0	0	0		8.222222
132	9	Fa5	F5	340	340	3	16	750	95	96	Bel	8.388889
133	9	Fa5	F5	340	340	1	16	250	95	96	ki 	8.444445
134	7	Fa5	F5	340	340	1	8	500	99	96	bir 	8.555555
135	9	Mi5	E5	336	336	1	8	500	95	96		8.666667
136	9	Sol5	G5	349	349	1	16	250	99	96	gün 	8.722222
137	9	Mi5	E5	336	336	1	16	250	99	96		8.777778
138	9	Mi5	E5	336	336	1	4	1000	95	96		9
139	53			0	0	0	0	0	0	0		9
140	9	Mi5	E5	336	336	1	16	250	99	96	bir 	9.055555
141	9	Fa5	F5	340	340	1	32	125	99	96		9.083333
142	9	Mi5	E5	336	336	1	32	125	99	96		9.111111
143	24	Re5	D5	327	327	1	8	500	95	96		9.222222
144	9	La5	A5	358	358	3	16	750	99	96	gün 	9.388889
145	9	Sol5	G5	349	349	1	16	250	95	96		9.444445
146	9	Sol5	G5	349	349	1	16	250	99	96	di	9.5
147	9	Fa5	F5	340	340	1	16	250	99	96		9.555555
148	9	Mi5	E5	336	336	1	16	250	99	96		9.611111
149	9	Re5	D5	327	327	1	16	250	95	96		9.666667
150	9	Do5#3	C5#4	321	322	1	4	1000	99	96	ye 	9.888889
151	9	Re5	D5	327	327	1	16	250	99	96		9.944445
152	11	Do5#3	C5#4	321	322	1	16	250	99	96		10
153	9	Do5#3	C5#4	321	322	1	4	1000	95	96		10.22222
154	53			0	0	0	0	0	0	0		10.22222
155	11	Re5	D5	327	327	1	8	500	95	96	bek	10.33333
156	9	Re5	D5	327	327	1	16	250	99	96	le	10.38889
157	9	Si4b4	B4b4	310	310	1	16	250	95	96		10.44444
158	9	La4	A4	305	305	1	4	1000	95	96	rim 	10.66667
159	53			0	0	0	0	0	0	0		10.66667
160	9	Si4b4	B4b4	310	310	3	32	375	99	96	üm	10.75
