Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	789	95	96	Saz	0.2222222
2	9	Mi5	E5	336	336	1	8	395	95	96	lar 	0.3333333
3	9	Re5	D5	327	327	1	16	197	95	96		0.3888889
4	9	Do5#4	C5#4	322	322	1	16	197	95	96		0.4444444
5	9	Do5#4	C5#4	322	322	1	16	197	95	96	ça	0.5
6	9	Si4b4	B4b4	310	310	1	16	197	95	96		0.5555556
7	9	Si4b4	B4b4	310	310	1	16	197	95	96	lý	0.6111111
8	9	La4	A4	305	305	1	16	197	95	96		0.6666667
9	9	La4	A4	305	305	3	8	1184	95	96	nýr 	1
10	53			0	0	0	0	0	0	0		1
11	9	Sol4	G4	296	296	1	4	789	95	96	Çam	1.222222
12	9	La4	A4	305	305	1	8	395	95	96	lý	1.333333
13	9	Si4b4	B4b4	310	310	1	8	395	95	96	ca	1.444444
14	9	Re5	D5	327	327	1	2	1579	95	96	nýn 	1.888889
15	9			-1	-1	1	8	395	100	0		2
16	53			0	0	0	0	0	0	0		2
17	9	Mi5	E5	336	336	1	4	789	95	96	bah	2.222222
18	9	Fa5#4	F5#4	344	344	1	8	395	95	96	çe	2.333333
19	9	Sol5	G5	349	349	1	8	395	95	96	le	2.444444
20	9	La5	A5	358	358	1	8	395	95	96	rin	2.555556
21	9	Sol5	G5	349	349	1	8	395	95	96		2.666667
22	9	Fa5#4	F5#4	344	344	1	8	395	95	96		2.777778
23	9	Mi5	E5	336	336	1	8	395	95	96		2.888889
24	9	Re5	D5	327	327	1	8	395	95	96		3
25	9	Re5	D5	327	327	3	16	592	95	96	de  	3.166667
26	53			0	0	0	0	0	0	0		3.166667
27	9	Mi5	E5	336	336	1	16	197	95	96		3.222222
28	9	Fa5#4	F5#4	344	344	1	8	395	95	96		3.333333
29	9	Sol5	G5	349	349	1	8	395	95	96		3.444444
30	9	La5	A5	358	358	1	8	395	95	96		3.555556
31	9	Si5	B5	367	367	1	16	197	95	96		3.611111
32	9	La5	A5	358	358	1	16	197	95	96		3.666667
33	9	La5	A5	358	358	1	4	789	95	96		3.888889
34	9			-1	-1	1	8	395	100	0		4
35	53			0	0	0	0	0	0	0		4
36	9	Sol5	G5	349	349	1	8	395	95	96	bah	4.111111
37	9	Fa5	F5	340	340	1	8	395	95	96	çe	4.222222
38	9	Mi5	E5	336	336	1	8	395	95	96	le	4.333333
39	9	La5	A5	358	358	1	8	395	95	96	rin	4.444445
40	9	Sol5	G5	349	349	1	8	395	95	96		4.555555
41	9	Fa5	F5	340	340	1	8	395	95	96		4.666667
42	9	Mi5	E5	336	336	1	8	395	95	96		4.777778
43	9	Mi5	E5	336	336	1	16	197	95	96		4.833333
44	9	Re5	D5	327	327	1	16	197	95	96		4.888889
45	9	Re5	D5	327	327	1	16	197	95	96		4.944445
46	9	Do5#4	C5#4	322	322	1	16	197	95	96		5
47	9	Re5	D5	327	327	1	2	1579	95	96	de  	5.444445
48	53			0	0	0	0	0	0	0		5.444445
49	9	Re5	D5	327	327	1	16	197	95	96	SAZ	5.5
50	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	5.555555
51	9	Re5	D5	327	327	1	16	197	95	96	.	5.611111
52	9	Fa5	F5	340	340	1	16	197	95	96	.	5.666667
53	9	Mi5	E5	336	336	1	16	197	95	96	.	5.722222
54	9	Re5	D5	327	327	1	16	197	95	96	.	5.777778
55	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	5.833333
56	9	Si4b4	B4b4	310	310	1	16	197	95	96	.	5.888889
57	9	La4	A4	305	305	1	16	197	95	96	.	5.944445
58	9	Sol4	G4	296	296	1	16	197	95	96	.	6
59	9	La4	A4	305	305	1	16	197	95	96	.	6.055555
60	9	Si4b4	B4b4	310	310	1	16	197	95	96	.	6.111111
61	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	6.166667
62	9	Re5	D5	327	327	1	16	197	95	96	.	6.222222
63	9	Mi5	E5	336	336	1	16	197	95	96	.	6.277778
64	9	Fa5	F5	340	340	1	16	197	95	96	.	6.333333
65	9	Sol5	G5	349	349	1	16	197	95	96	.	6.388889
66	9	La5	A5	358	358	1	16	197	95	96	.	6.444445
67	9	Sol5	G5	349	349	1	16	197	95	96	.	6.5
68	9	Fa5	F5	340	340	1	16	197	95	96	.	6.555555
69	9	Mi5	E5	336	336	1	16	197	95	96	.	6.611111
70	9	Sol5	G5	349	349	1	16	197	95	96	.	6.666667
71	9	Fa5	F5	340	340	1	16	197	95	96	.	6.722222
72	9	Mi5	E5	336	336	1	16	197	95	96	.	6.777778
73	9	Re5	D5	327	327	1	16	197	95	96	.	6.833333
74	9	Fa5	F5	340	340	1	16	197	95	96	.	6.888889
75	9	Mi5	E5	336	336	1	16	197	95	96	.	6.944445
76	9	Re5	D5	327	327	1	16	197	95	96	.	7
77	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	7.055555
78	9	Re5	D5	327	327	1	16	197	95	96	.	7.111111
79	9	Mi5	E5	336	336	1	16	197	95	96	.	7.166667
80	9	Fa5	F5	340	340	1	16	197	95	96	.	7.222222
81	9	Sol5	G5	349	349	1	16	197	95	96	.	7.277778
82	9	La5	A5	358	358	1	16	197	95	96	.	7.333333
83	9	Fa5	F5	340	340	1	16	197	95	96	.	7.388889
84	9	Mi5	E5	336	336	1	16	197	95	96	.	7.444445
85	9	Fa5	F5	340	340	1	16	197	95	96	.	7.5
86	9	Sol5	G5	349	349	1	16	197	95	96	.	7.555555
87	9	Mi5	E5	336	336	1	16	197	95	96	.	7.611111
88	9	Re5	D5	327	327	1	16	197	95	96	.	7.666667
89	9	Mi5	E5	336	336	1	16	197	95	96	.	7.722222
90	9	Fa5	F5	340	340	1	16	197	95	96	.	7.777778
91	9	Mi5	E5	336	336	1	16	197	95	96	.	7.833333
92	9	Re5	D5	327	327	1	16	197	95	96	.	7.888889
93	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	7.944445
94	9	Si4b4	B4b4	310	310	1	16	197	95	96	.	8
95	9	La4	A4	305	305	3	16	592	95	96	.	8.166667
96	53			0	0	0	0	0	0	0		8.166667
97	9	La5	A5	358	358	1	16	197	95	96	.	8.222222
98	9	Sol5	G5	349	349	1	16	197	95	96	.	8.277778
99	9	Fa5	F5	340	340	1	16	197	95	96	.	8.333333
100	9	Mi5	E5	336	336	1	16	197	95	96	.	8.388889
101	9	Re5	D5	327	327	1	16	197	95	96	.	8.444445
102	9	Do5#4	C5#4	322	322	1	16	197	95	96	.	8.5
103	9	Si4b4	B4b4	310	310	1	16	197	95	96	.	8.555555
