Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	517	95	96	ARANAÐME 	0.1111111
2	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	0.1666667
3	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	0.2222222
4	9	Do5#4	C5#4	322	322	1	8	517	95	96	.	0.3333333
5	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	0.3888889
6	9	La4	A4	305	305	1	16	259	95	96	.	0.4444444
7	9	Si4b4	B4b4	310	310	1	8	517	95	96	.	0.5555556
8	9	La4	A4	305	305	1	16	259	95	96	.	0.6111111
9	9	Sol4	G4	296	296	1	16	259	95	96	.	0.6666667
10	9	La4	A4	305	305	1	8	517	95	96	.	0.7777778
11	9	Si4b4	B4b4	310	310	1	8	517	95	96	.	0.8888889
12	9	Do5#4	C5#4	322	322	1	8	517	95	96	.	1
13	53			0	0	0	0	0	0	0		1
14	9	Re5	D5	327	327	1	8	517	95	96	.	1.111111
15	9	Mi5	E5	336	336	1	16	259	95	96	.	1.166667
16	9	Fa5#4	F5#4	344	344	1	16	259	95	96	.	1.222222
17	9	La5	A5	358	358	1	16	259	95	96	.	1.277778
18	9	Sol5	G5	349	349	1	16	259	95	96	.	1.333333
19	9	Fa5	F5	340	340	1	16	259	95	96	.	1.388889
20	9	Mi5	E5	336	336	1	16	259	95	96	.	1.444444
21	9	Mi5	E5	336	336	1	16	259	95	96	.	1.5
22	9	Re5	D5	327	327	1	16	259	95	96	.	1.555556
23	9	Re5	D5	327	327	1	16	259	95	96	.	1.611111
24	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	1.666667
25	9	Re5	D5	327	327	1	8	517	95	96	.	1.777778
26	9	Mi5	E5	336	336	1	8	517	95	96	.	1.888889
27	9	Fa5#4	F5#4	344	344	1	8	517	95	96	.	2
28	53			0	0	0	0	0	0	0		2
29	9	Sol5	G5	349	349	1	8	517	95	96	.	2.111111
30	9	Fa5	F5	340	340	1	16	259	95	96	.	2.166667
31	9	Mi5	E5	336	336	1	16	259	95	96	.	2.222222
32	9	Fa5	F5	340	340	1	8	517	95	96	.	2.333333
33	9	Mi5	E5	336	336	1	16	259	95	96	.	2.388889
34	9	Re5	D5	327	327	1	16	259	95	96	.	2.444444
35	9	Mi5	E5	336	336	1	8	517	95	96	.	2.555556
36	9	Re5	D5	327	327	1	16	259	95	96	.	2.611111
37	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	2.666667
38	9	Re5	D5	327	327	1	16	259	95	96	.	2.722222
39	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	2.777778
40	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	2.833333
41	9	La4	A4	305	305	1	16	259	95	96	.	2.888889
42	9	Sol4	G4	296	296	1	8	517	95	96	.	3
43	53			0	0	0	0	0	0	0		3
44	9	La4	A4	305	305	1	16	259	95	96	.	3.055556
45	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	3.111111
46	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	3.166667
47	9	Re5	D5	327	327	1	16	259	95	96	.	3.222222
48	9	Mi5	E5	336	336	1	8	517	95	96	.	3.333333
49	9	Re5	D5	327	327	1	16	259	95	96	.	3.388889
50	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	3.444444
51	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	3.5
52	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	3.555556
53	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	3.611111
54	9	La4	A4	305	305	1	16	259	95	96	.	3.666667
55	9	La4	A4	305	305	1	8	517	95	96	.	3.777778
56	9	Si4b4	B4b4	310	310	1	8	517	95	96	.	3.888889
57	9	Do5#4	C5#4	322	322	1	8	517	95	96	.	4
58	53			0	0	0	0	0	0	0		4
59	9	Re5	D5	327	327	1	8	517	95	96	ARANAÐME 	4.111111
60	9	Do5#4	C5#4	322	322	1	16	259	95	96	.	4.166667
61	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	4.222222
62	9	Do5#4	C5#4	322	322	1	8	517	95	96	.	4.333333
63	9	Si4b4	B4b4	310	310	1	16	259	95	96	.	4.388889
64	9	La4	A4	305	305	1	16	259	95	96	.	4.444445
65	9	Si4b4	B4b4	310	310	1	8	517	95	96	.	4.555555
66	9	La4	A4	305	305	1	16	259	95	96	.	4.611111
67	9	Sol4	G4	296	296	1	16	259	95	96	.	4.666667
