Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	2	1600	99	96	Ah 	0.5
2	9	Do5#4	C5#4	322	322	1	8	400	99	96		0.625
3	9	Re5	D5	327	327	1	8	400	99	96		0.75
4	8	Fa5	F5	340	340	0	0	0	99	93		0.75
5	9	Mi5	E5	336	336	1	8	400	99	96		0.875
6	9	Mi5	E5	336	336	1	16	200	99	96		0.9375
7	9	Re5	D5	327	327	1	16	200	99	96		1
8	9	Re5	D5	327	327	1	2	1600	95	96		1.5
9	9			-1	-1	1	8	400	100	0		1.625
10	53			0	0	0	0	0	0	0		1.625
11	9	Re5	D5	327	327	1	8	400	99	96	düþ	1.75
12	9	Do5#4	C5#4	322	322	1	8	400	95	96		1.875
13	9	Re5	D5	327	327	1	8	400	95	96	me	2
14	54			0	0	0	0	0	0	0	nisabur@si4	2
15	9	Mi5	E5	336	336	1	4	800	99	96	sin 	2.25
16	9	Fa5	F5	340	340	1	8	400	99	96		2.375
17	9	Mi5	E5	336	336	1	8	400	99	96		2.5
18	9	Re5	D5	327	327	1	16	200	99	96		2.5625
19	9	Do5#4	C5#4	322	322	1	16	200	99	96		2.625
20	9	Si4	B4	314	314	1	8	400	99	96		2.75
21	9	Do5#4	C5#4	322	322	1	8	400	99	96		2.875
22	9	Re5	D5	327	327	1	8	400	95	96		3
23	9	Do5#4	C5#4	322	322	1	4	800	99	96	mis	3.25
24	9	Re5	D5	327	327	1	2	1600	95	96		3.75
25	9			-1	-1	1	4	800	100	0		4
26	55			0	0	0	0	0	0	0		4
27	53			0	0	0	0	0	0	0		4
28	9	Re5	D5	327	327	1	4	800	99	96	kin 	4.25
29	9	Mi5	E5	336	336	1	8	400	99	96		4.375
30	9	Re5	D5	327	327	1	8	400	99	96		4.5
31	9	Do5#4	C5#4	322	322	1	4	800	99	96		4.75
32	9	Re5	D5	327	327	1	8	400	99	96		4.875
33	9	Do5#4	C5#4	322	322	1	8	400	99	96		5
34	9	Si4b4	B4b4	310	310	1	4	800	99	96		5.25
35	9	Do5#4	C5#4	322	322	1	8	400	99	96		5.375
36	9	Si4b4	B4b4	310	310	1	8	400	99	96		5.5
37	9	La4	A4	305	305	1	4	800	99	96		5.75
38	9	La4	A4	305	305	1	8	400	99	96		5.875
39	9	La4	A4	305	305	1	8	400	99	96		6
40	9	La4	A4	305	305	1	2	1600	95	96		6.5
41	54			0	0	0	0	0	0	0	hicaz-zirgule@la4	6.5
42	9	La4	A4	305	305	1	8	400	99	96	kin 	6.625
43	9	Do5#4	C5#4	322	322	1	8	400	99	96		6.75
44	9	Si4b4	B4b4	310	310	1	8	400	99	96		6.875
45	9	La4	A4	305	305	1	8	400	99	96		7
46	9	La4	A4	305	305	1	16	200	99	96		7.0625
47	9	Sol4#4	G4#4	300	300	1	16	200	99	96		7.125
48	9	Fa4	F4	287	287	1	8	400	99	96		7.25
49	9	Sol4#4	G4#4	300	300	1	8	400	99	96		7.375
50	9	La4	A4	305	305	1	8	400	99	96		7.5
51	9	Sol4#4	G4#4	300	300	1	8	400	99	96		7.625
52	9	La4	A4	305	305	1	8	400	99	96		7.75
53	9	Sol4#4	G4#4	300	300	1	8	400	95	96		7.875
54	9	Fa4#4	F4#4	291	291	1	8	400	95	96	gö	8
55	9	La4	A4	305	305	3	4	2400	99	96	nül 	8.75
56	9	Do5#4	C5#4	322	322	1	4	800	95	96		9
57	9			-1	-1	1	8	400	100	0		9.125
58	53			0	0	0	0	0	0	0		9.125
59	9	La4	A4	305	305	1	4	800	99	96	nül	9.375
60	9	Si4b4	B4b4	310	310	1	8	400	99	96		9.5
61	9	La4	A4	305	305	1	8	400	99	96		9.625
62	9	Mi5	E5	336	336	1	8	400	99	96		9.75
63	9	Re5	D5	327	327	1	8	400	99	96		9.875
64	9	Do5#4	C5#4	322	322	1	8	400	95	96		10
65	9	Do5#4	C5#4	322	322	1	8	400	99	96	ler 	10.125
66	9	Si4b4	B4b4	310	310	1	4	800	99	96		10.375
67	9	La4	A4	305	305	1	8	400	99	96		10.5
68	9	Sol4#4	G4#4	300	300	1	8	400	99	96		10.625
69	9	La4	A4	305	305	1	8	400	99	96		10.75
70	8	Do5#4	C5#4	322	322	0	0	0	95	93		10.75
71	9	Si4b4	B4b4	310	310	1	8	400	99	96		10.875
72	9	Si4b4	B4b4	310	310	1	16	200	99	96		10.9375
73	9	La4	A4	305	305	1	16	200	99	96		11
74	9	La4	A4	305	305	3	4	2400	95	96		11.75
75	9			-1	-1	1	4	800	100	0		12
76	55			0	0	0	0	0	0	0		12
77	53			0	0	0	0	0	0	0		12
78	9	Mi5	E5	336	336	3	16	600	99	96	ah  	12.1875
79	9	Re5	D5	327	327	1	16	200	99	96		12.25
80	9	Do5#4	C5#4	322	322	1	8	400	99	96		12.375
81	9	Re5	D5	327	327	1	8	400	99	96		12.5
82	9	Do5#4	C5#4	322	322	1	8	400	99	96		12.625
83	9	Re5	D5	327	327	1	8	400	99	96		12.75
84	8	Fa5	F5	340	340	0	0	0	99	93		12.75
85	9	Mi5	E5	336	336	1	8	400	99	96		12.875
86	9	Mi5	E5	336	336	1	16	200	99	96		12.9375
87	9	Re5	D5	327	327	1	16	200	99	96		13
88	9	Re5	D5	327	327	3	8	1200	99	96		13.375
89	9	Do5#4	C5#4	322	322	1	8	400	95	96		13.5
90	9			-1	-1	1	8	400	100	0		13.625
91	53			0	0	0	0	0	0	0		13.625
92	54			0	0	0	0	0	0	0	nisabur@si4	13.625
93	9	Si4	B4	314	314	1	4	800	95	96	Zülf_	13.875
94	9	Do5#4	C5#4	322	322	1	8	400	95	96	i 	14
95	9	Re5	D5	327	327	1	4	800	99	96	an	14.25
96	55			0	0	0	0	0	0	0		14.25
97	53			0	0	0	0	0	0	0		14.25
98	9	Do5#4	C5#4	322	322	1	8	400	99	96		14.375
99	9	Re5	D5	327	327	1	8	400	99	96		14.5
100	9	Mi5	E5	336	336	1	8	400	99	96		14.625
101	9	Sol5	G5	349	349	1	8	400	99	96		14.75
102	9	Fa5	F5	340	340	1	8	400	99	96		14.875
103	9	Mi5	E5	336	336	1	8	400	95	96		15
104	9	Mi5	E5	336	336	3	16	600	99	96	ber 	15.1875
105	9	Re5	D5	327	327	1	16	200	99	96		15.25
106	9	Do5#4	C5#4	322	322	1	8	400	99	96		15.375
107	9	Re5	D5	327	327	1	8	400	99	96		15.5
108	9	Do5#4	C5#4	322	322	1	4	800	99	96		15.75
109	9	Re5	D5	327	327	1	4	800	100	96		16
110	9	Re5	D5	327	327	1	8	400	95	96		16.125
111	9			-1	-1	1	8	400	100	0		16.25
112	53			0	0	0	0	0	0	0		16.25
113	9	Re5	D5	327	327	1	2	1600	99	96	bû 	16.75
114	9	Mi5	E5	336	336	1	4	800	100	96		17
115	9	Mi5	E5	336	336	1	2	1600	95	96		17.5
116	53			0	0	0	0	0	0	0		17.5
117	9	Mi5	E5	336	336	1	8	400	99	96	bû 	17.625
118	9	Fa5	F5	340	340	1	8	400	99	96		17.75
119	9	Mi5	E5	336	336	1	8	400	99	96		17.875
120	9	Fa5	F5	340	340	1	8	400	99	96		18
121	9	Mi5	E5	336	336	1	4	800	99	96		18.25
122	9	Fa5	F5	340	340	1	8	400	99	96		18.375
123	9	Mi5	E5	336	336	1	8	400	99	96		18.5
124	9	Re5	D5	327	327	1	8	400	99	96		18.625
125	9	Do5#4	C5#4	322	322	1	8	400	99	96		18.75
126	9	Re5	D5	327	327	1	4	800	100	96		19
127	9	Re5	D5	327	327	1	8	400	95	96		19.125
128	9			-1	-1	1	8	400	100	0		19.25
129	53			0	0	0	0	0	0	0		19.25
130	9	Do5#4	C5#4	322	322	1	8	400	99	96	bû	19.375
131	9	Re5	D5	327	327	1	8	400	99	96		19.5
132	9	Mi5	E5	336	336	1	8	400	99	96		19.625
133	9	Fa5	F5	340	340	1	8	400	99	96		19.75
134	9	Mi5	E5	336	336	1	8	400	95	96		19.875
135	9	Re5	D5	327	327	1	8	400	95	96	la	20
136	9	Mi5	E5	336	336	3	16	600	99	96	ra  	20.1875
137	9	Re5	D5	327	327	1	16	200	99	96		20.25
138	9	Do5#4	C5#4	322	322	1	8	400	99	96		20.375
139	9	Re5	D5	327	327	1	8	400	99	96		20.5
140	9	Do5#4	C5#4	322	322	1	8	400	99	96		20.625
141	9	Re5	D5	327	327	1	8	400	99	96		20.75
142	8	Fa5	F5	340	340	0	0	0	99	96		20.75
143	10	Mi5	E5	336	336	1	8	400	99	96		20.875
144	9	Mi5	E5	336	336	1	16	200	99	96		20.9375
145	9	Re5	D5	327	327	1	16	200	99	96		21
146	9	Re5	D5	327	327	3	4	2400	95	96		21.75
147	9			-1	-1	1	4	800	100	0		22
148	53			0	0	0	0	0	0	0		22
149	9	Re5	D5	327	327	1	4	800	99	96	Öm	22.25
150	9	Mi5	E5	336	336	1	8	400	99	96		22.375
151	9	Re5	D5	327	327	1	8	400	95	96		22.5
152	9	Do5#4	C5#4	322	322	1	4	800	99	96	rüm 	22.75
153	9	Re5	D5	327	327	1	8	400	99	96		22.875
154	9	Do5#4	C5#4	322	322	1	8	400	95	96		23
155	9	Si4b4	B4b4	310	310	1	4	800	99	96	câ	23.25
156	9	Do5#4	C5#4	322	322	1	8	400	99	96		23.375
157	9	Si4b4	B4b4	310	310	1	8	400	95	96		23.5
158	9	La4	A4	305	305	3	8	1200	67	96	ným 	23.875
159	53			0	0	0	0	0	0	0		23.875
160	9	La4	A4	305	305	1	8	400	95	96	a	24
161	9	La4	A4	305	305	1	8	400	99	96	man  	24.125
162	9	Do5#4	C5#4	322	322	1	8	400	99	96		24.25
163	9	Si4b4	B4b4	310	310	1	8	400	99	96		24.375
164	9	La4	A4	305	305	1	8	400	99	96		24.5
165	9	La4	A4	305	305	3	16	600	99	96		24.6875
166	9	Sol4	G4	296	296	1	16	200	99	96		24.75
167	9	Fa4#4	F4#4	291	291	1	8	400	99	96		24.875
168	9	Sol4	G4	296	296	1	8	400	95	96		25
169	9	La4	A4	305	305	1	8	400	99	96	Ah 	25.125
170	9	Si4b4	B4b4	310	310	1	8	400	99	96		25.25
171	9	La4	A4	305	305	1	8	400	99	96		25.375
172	9	Sol4	G4	296	296	1	8	400	95	96		25.5
173	9			-1	-1	1	8	400	100	0		25.625
174	53			0	0	0	0	0	0	0		25.625
175	54			0	0	0	0	0	0	0	segah@fa4#4	25.625
