Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	1	Mi5	E5	336	336	1	4	588	95	96	.	0.2222222
2	9	Do5#4	C5#4	322	322	1	8	294	95	96	Þu 	0.3333333
3	9	Re5	D5	327	327	1	8	294	95	96	kar	0.4444444
4	9	Mi5	E5	336	336	1	4	588	95	96	þý	0.6666667
5	9	Mi5	E5	336	336	1	4	588	99	96	ki 	0.8888889
6	9	Sol5	G5	349	349	1	8	294	95	96		1
7	53			0	0	0	0	0	0	0		1
8	9	Fa5	F5	340	340	3	16	441	99	96	dað	1.166667
9	9	Mi5	E5	336	336	1	16	147	99	96		1.222222
10	9	Re5	D5	327	327	1	8	294	99	96		1.333333
11	9	Fa5	F5	340	340	1	8	294	95	96		1.444444
12	9	Mi5	E5	336	336	1	8	294	99	96	da 	1.555556
13	9	Re5	D5	327	327	1	8	294	99	96		1.666667
14	9	Do5#4	C5#4	322	322	1	4	588	95	96		1.888889
15	9			-1	-1	1	8	294	100	0		2
16	53			0	0	0	0	0	0	0		2
17	9	Re5	D5	327	327	1	4	588	95	96	bir 	2.222222
18	9	Mi5	E5	336	336	1	8	294	99	96	ye	2.333333
19	9	Fa5#4	F5#4	344	344	1	8	294	95	96		2.444444
20	9	Sol5	G5	349	349	1	8	294	99	96	þil 	2.555556
21	9	Mi5	E5	336	336	1	8	294	99	96		2.666667
22	9	Fa5	F5	340	340	1	8	294	99	96		2.777778
23	9	Mi5	E5	336	336	1	8	294	95	96		2.888889
24	9	Re5	D5	327	327	1	8	294	95	96	ça	3
25	9	Mi5	E5	336	336	1	8	294	95	96	dýr  	3.111111
26	53			0	0	0	0	0	0	0		3.111111
27	9	Fa5	F5	340	340	1	16	147	95	96	SAZ	3.166667
28	9	Sol5	G5	349	349	1	16	147	95	96	.	3.222222
29	9	Mi5	E5	336	336	1	8	294	95	96	.	3.333333
30	9	Re5	D5	327	327	1	8	294	95	96	.	3.444444
31	9	Do5#4	C5#4	322	322	1	8	294	95	96	.	3.555556
32	9	Si4b4	B4b4	310	310	1	8	294	95	96	.	3.666667
33	9	La4	A4	305	305	3	16	441	95	96	.	3.833333
34	53			0	0	0	0	0	0	0		3.833333
35	9	Re5	D5	327	327	1	16	147	95	96	.	3.888889
36	9	Do5#4	C5#4	322	322	1	16	147	95	78	.	3.944444
37	9	Re5	D5	327	327	1	16	147	95	72	.	4
38	1	Mi5	E5	336	336	1	4	588	95	96	.	4.222222
39	9	Do5#4	C5#4	322	322	1	8	294	95	96	Þu 	4.333333
40	9	Re5	D5	327	327	1	8	294	95	96	kar	4.444445
41	9	Mi5	E5	336	336	1	4	588	95	96	þý	4.666667
42	9	Mi5	E5	336	336	1	4	588	99	96	ki 	4.888889
43	9	Sol5	G5	349	349	1	8	294	95	96		5
44	53			0	0	0	0	0	0	0		5
45	9	Fa5	F5	340	340	3	16	441	99	96	dað	5.166667
46	9	Mi5	E5	336	336	1	16	147	99	96		5.222222
47	9	Re5	D5	327	327	1	8	294	99	96		5.333333
48	9	Fa5	F5	340	340	1	8	294	95	96		5.444445
49	9	Mi5	E5	336	336	1	8	294	99	96	da 	5.555555
50	9	Re5	D5	327	327	1	8	294	99	96		5.666667
51	9	Do5#4	C5#4	322	322	1	4	588	95	96		5.888889
52	9			-1	-1	1	8	294	100	0		6
53	53			0	0	0	0	0	0	0		6
54	9	Re5	D5	327	327	1	4	588	95	96	bir 	6.222222
55	9	Mi5	E5	336	336	1	8	294	99	96	ye	6.333333
56	9	Fa5#4	F5#4	344	344	1	8	294	95	96		6.444445
57	9	Sol5	G5	349	349	1	8	294	99	96	þil 	6.555555
58	9	Mi5	E5	336	336	1	8	294	99	96		6.666667
59	9	Fa5	F5	340	340	1	8	294	99	96		6.777778
60	9	Mi5	E5	336	336	1	8	294	95	96		6.888889
61	9	Re5	D5	327	327	1	8	294	95	96	ça	7
62	9	Mi5	E5	336	336	3	8	882	95	96	dýr  	7.333333
63	53			0	0	0	0	0	0	0		7.333333
64	9	Re5	D5	327	327	1	8	294	95	96	SAZ	7.444445
65	9	Do5#4	C5#4	322	322	1	8	294	95	96	.	7.555555
66	9	Re5	D5	327	327	1	8	294	95	96	.	7.666667
67	9	Mi5	E5	336	336	1	16	147	95	96	.	7.722222
68	9	Fa5	F5	340	340	1	16	147	95	96	.	7.777778
69	9	Mi5	E5	336	336	1	16	147	95	96	.	7.833333
70	9	Re5	D5	327	327	1	16	147	95	96	.	7.888889
71	9	Do5#4	C5#4	322	322	1	16	147	95	96	.	7.944445
72	9	Re5	D5	327	327	1	16	147	95	96	.	8
73	9	Mi5	E5	336	336	1	4	588	95	96	.	8.222222
74	53			0	0	0	0	0	0	0		8.222222
75	9	Re5	D5	327	327	1	8	294	95	96	Ça	8.333333
76	9	Mi5	E5	336	336	1	8	294	95	96	dý	8.444445
77	9	Fa5	F5	340	340	1	8	294	99	96	rýn 	8.555555
78	9	Mi5	E5	336	336	1	8	294	99	96		8.666667
79	9	Fa5	F5	340	340	1	8	294	99	96		8.777778
80	9	Mi5	E5	336	336	1	8	294	99	96		8.888889
81	9	Re5	D5	327	327	1	8	294	95	96		9
82	53			0	0	0	0	0	0	0		9
83	9	Do5#4	C5#4	322	322	1	8	294	95	96	i	9.111111
84	9	Re5	D5	327	327	1	4	588	95	96	çin	9.333333
85	9	Fa5	F5	340	340	1	8	294	95	96	de 	9.444445
86	9	Mi5	E5	336	336	1	8	294	99	96	ah 	9.555555
87	9	Re5	D5	327	327	1	8	294	99	96		9.666667
88	9	Do5#4	C5#4	322	322	1	4	588	99	96		9.888889
89	9	Si4b4	B4b4	310	310	1	16	147	99	96		9.944445
