Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	3	16	577	95	96	Bir 	0.1666667
2	9	La4	A4	305	305	1	16	192	95	96	ba	0.2222222
3	9	Re5	D5	327	327	1	4	769	95	96	har 	0.4444444
4	9	Re5	D5	327	327	1	4	769	95	96	ak	0.6666667
5	54			0	0	0	0	0	0	0	niþabur@si	0.6666667
6	9	Re5	D5	327	327	1	8	385	95	96	þa	0.7777778
7	9	Do5#4	C5#4	322	322	1	8	385	99	96	mý 	0.8888889
8	9	Si4	B4	314	314	1	8	385	95	96		1
9	55			0	0	0	0	0	0	0		1
10	53			0	0	0	0	0	0	0		1
11	9			-1	-1	1	8	385	100	0		1.111111
12	9	Mi5	E5	336	336	1	4	769	95	96	rast	1.333333
13	9	Mi5	E5	336	336	1	8	385	95	96	la	1.444444
14	9	Fa5	F5	340	340	3	16	577	99	96	dým 	1.611111
15	9	Mi5	E5	336	336	1	16	192	99	96		1.666667
16	9	Re5	D5	327	327	1	4	769	95	96		1.888889
17	53			0	0	0	0	0	0	0		1.888889
18	9	Mi5	E5	336	336	1	8	385	95	96	si	2
19	9	Re5	D5	327	327	1	2	1538	95	96	ze  	2.444444
20	53			0	0	0	0	0	0	0		2.444444
21	9	Do5#4	C5#4	322	322	1	8	385	95	96	SAZ	2.555556
22	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	2.666667
23	9	La4	A4	305	305	1	4	769	95	96	.	2.888889
24	9			-1	-1	1	8	385	100	0		3
25	9	La4	A4	305	305	3	16	577	95	96	Bir 	3.166667
26	9	La4	A4	305	305	1	16	192	95	96	ba	3.222222
27	9	Re5	D5	327	327	1	4	769	95	96	har 	3.444444
28	9	Re5	D5	327	327	1	4	769	95	96	ak	3.666667
29	54			0	0	0	0	0	0	0	niþabur@si	3.666667
30	9	Re5	D5	327	327	1	8	385	95	96	þa	3.777778
31	9	Do5#4	C5#4	322	322	1	8	385	99	96	mý 	3.888889
32	9	Si4	B4	314	314	1	8	385	95	96		4
33	55			0	0	0	0	0	0	0		4
34	53			0	0	0	0	0	0	0		4
35	9			-1	-1	1	8	385	100	0		4.111111
36	9	Mi5	E5	336	336	1	4	769	95	96	rast	4.333333
37	9	Mi5	E5	336	336	1	8	385	95	96	la	4.444445
38	9	Fa5	F5	340	340	3	16	577	99	96	dým 	4.611111
39	9	Mi5	E5	336	336	1	16	192	99	96		4.666667
40	9	Re5	D5	327	327	1	4	769	95	96		4.888889
41	53			0	0	0	0	0	0	0		4.888889
42	9	Mi5	E5	336	336	1	8	385	95	96	si	5
43	9	Re5	D5	327	327	1	2	1538	95	96	ze  	5.444445
44	53			0	0	0	0	0	0	0		5.444445
45	9	La4	A4	305	305	1	4	769	95	96	SAZ	5.666667
46	9	Re5	D5	327	327	1	4	769	95	96	.	5.888889
47	9			-1	-1	1	8	385	100	0		6
48	9	Re5	D5	327	327	1	8	385	95	96	Se	6.111111
49	9	Mi5	E5	336	336	1	4	769	95	96	vinç	6.333333
50	9	Mi5	E5	336	336	1	8	385	95	96	li 	6.444445
51	9	Sol5	G5	349	349	1	8	385	99	96	bir 	6.555555
52	9	Fa5	F5	340	340	1	8	385	99	96		6.666667
53	9	Mi5	E5	336	336	1	4	769	95	96		6.888889
54	53			0	0	0	0	0	0	0		6.888889
55	9	Re5	D5	327	327	1	8	385	95	96	te	7
56	54			0	0	0	0	0	0	0	segah@do#	7
57	9	Mi5	E5	336	336	3	8	1154	95	96	lâþ_	7.333333
58	9	Re5	D5	327	327	1	8	385	95	96	i	7.444445
59	9	Re5	D5	327	327	1	8	385	99	96	çin	7.555555
60	9	Do5#4	C5#4	322	322	1	8	385	95	96		7.666667
61	9	Do5#4	C5#4	322	322	1	8	385	99	96	dey	7.777778
62	9	Si4#4	B4#4	318	318	1	8	385	95	96		7.888889
63	9	Re5	D5	327	327	1	16	192	99	96	di	7.944445
64	11	Do5#4	C5#4	322	322	1	16	192	95	96		8
65	9	Do5#4	C5#4	322	322	3	8	1154	95	96	niz  	8.333333
66	55			0	0	0	0	0	0	0		8.333333
67	53			0	0	0	0	0	0	0		8.333333
68	9	Re5	D5	327	327	1	16	192	95	96	SAZ	8.388889
69	9	Mi5	E5	336	336	1	16	192	95	96	.	8.444445
70	12	Fa5	F5	340	340	1	8	385	95	96	.	8.555555
71	9	Mi5	E5	336	336	1	16	192	95	96	.	8.611111
72	9	Re5	D5	327	327	1	16	192	95	96	.	8.666667
73	9	Do5#4	C5#4	322	322	1	4	769	95	96	.	8.888889
74	9			-1	-1	1	8	385	100	0		9
75	53			0	0	0	0	0	0	0		9
76	9	Mi5	E5	336	336	1	8	385	95	96	De	9.111111
77	9	Mi5	E5	336	336	1	4	769	99	96	rin	9.333333
78	9	Fa5#4	F5#4	344	344	1	8	385	95	96		9.444445
79	9	Sol5	G5	349	349	1	8	385	99	96	den 	9.555555
80	9	Fa5#4	F5#4	344	344	1	8	385	99	96		9.666667
81	9	Mi5	E5	336	336	1	8	385	99	96		9.777778
82	9	Fa5#4	F5#4	344	344	1	8	385	95	96		9.888889
83	9	Sol5	G5	349	349	1	8	385	95	96	ba	10
84	9	La5	A5	358	358	3	8	1154	95	96	kýn	10.33333
85	9	Sol5	G5	349	349	1	8	385	95	96	ca 	10.44444
86	9	Sol5	G5	349	349	1	8	385	99	96	göz	10.55556
87	9	Fa5	F5	340	340	1	8	385	95	96		10.66667
88	9	Fa5	F5	340	340	1	8	385	95	96	le	10.77778
89	9	Fa5	F5	340	340	1	16	192	99	96	ri	10.83333
90	9	Mi5	E5	336	336	1	16	192	95	96		10.88889
91	9	Mi5	E5	336	336	1	16	192	99	96	ni	10.94444
92	9	Re5	D5	327	327	1	16	192	95	96		11
93	9	Re5	D5	327	327	3	8	1154	95	96	ze  	11.33333
94	53			0	0	0	0	0	0	0		11.33333
95	9	Mi5	E5	336	336	1	16	192	95	96	SAZ	11.38889
96	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	11.44444
97	12	Sol5	G5	349	349	1	8	385	95	96	.	11.55556
98	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	11.61111
99	9	Mi5	E5	336	336	1	16	192	95	96	.	11.66667
100	9	Re5	D5	327	327	1	4	769	95	96	.	11.88889
101	9			-1	-1	1	8	385	100	0		12
102	53			0	0	0	0	0	0	0		12
103	9	Mi5	E5	336	336	1	8	385	95	96	Ne	12.11111
104	9	Fa5	F5	340	340	1	4	769	95	96	den 	12.33333
105	9	Mi5	E5	336	336	1	8	385	95	96	ba	12.44444
106	9	Mi5	E5	336	336	1	8	385	95	96	þý	12.55556
107	9	Fa5#4	F5#4	344	344	1	8	385	95	96	ný	12.66667
108	28	Sol5	G5	349	349	1	4	769	95	96	zý 	12.88889
109	9			-1	-1	1	8	385	100	0		13
110	53			0	0	0	0	0	0	0		13
111	9			-1	-1	1	4	769	100	0		13.22222
112	9	Mi5	E5	336	336	1	8	385	95	96	ö	13.33333
113	9	Fa5	F5	340	340	1	8	385	95	96	ne 	13.44444
114	9	Mi5	E5	336	336	1	8	385	99	96	eð	13.55556
115	9	Re5	D5	327	327	1	8	385	99	96		13.66667
116	9	Re5	D5	327	327	1	16	192	99	96		13.72222
117	9	Do5#4	C5#4	322	322	1	16	192	99	96		13.77778
118	9	Si4b4	B4b4	310	310	1	8	385	95	96		13.88889
119	9	Do5#4	C5#4	322	322	1	8	385	95	96	di	14
120	9	Si4b4	B4b4	310	310	1	2	1538	95	96	niz  	14.44444
121	53			0	0	0	0	0	0	0		14.44444
122	9	Re5	D5	327	327	1	16	192	95	96	SAZ	14.5
123	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	14.55556
124	9	Re5	D5	327	327	1	8	385	95	96	.	14.66667
125	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	14.77778
126	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	14.88889
127	9	La4	A4	305	305	1	8	385	95	96	.	15
128	53			0	0	0	0	0	0	0		15
129	9	La4	A4	305	305	1	8	385	95	96	Ne	15.11111
130	9	Si4b4	B4b4	310	310	1	4	769	95	96	den 	15.33333
131	9	La4	A4	305	305	1	8	385	95	96	ba	15.44444
132	9	La4	A4	305	305	1	8	385	95	96	þý	15.55556
133	9	Si4b4	B4b4	310	310	1	8	385	95	96	ný	15.66667
134	9	Do5#4	C5#4	322	322	1	8	385	99	96	zý 	15.77778
135	9	Re5	D5	327	327	1	4	769	95	96		16
136	53			0	0	0	0	0	0	0		16
137	9			-1	-1	1	4	769	100	0		16.22222
138	9	La4	A4	305	305	1	8	385	95	96	ö	16.33333
139	9	Si4b4	B4b4	310	310	1	8	385	95	96	ne 	16.44444
140	9	Si4b4	B4b4	310	310	1	8	385	99	96	eð	16.55556
141	9	La4	A4	305	305	1	8	385	99	96		16.66667
142	9	La4	A4	305	305	1	8	385	99	96		16.77778
143	9	Si4b4	B4b4	310	310	1	8	385	95	96		16.88889
144	8	Do5#4	C5#4	322	322	0	0	0	95	96		16.88889
145	9	Si4b4	B4b4	310	310	1	16	192	99	96	di	16.94444
146	11	La4	A4	305	305	1	16	192	95	96		17
147	9	La4	A4	305	305	1	2	1538	95	96	niz  	17.44444
148	53			0	0	0	0	0	0	0		17.44444
149	9	Sol4	G4	296	296	1	4	769	95	96	SAZ	17.66667
150	9	La4	A4	305	305	1	4	769	95	96	.	17.88889
151	9			-1	-1	1	8	385	100	0		18
152	53			0	0	0	0	0	0	0		18
153	9	La4	A4	305	305	1	8	385	95	96	ARANAÐME	18.11111
154	9	Re5	D5	327	327	1	4	769	95	96	.	18.33333
155	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	18.44444
156	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	18.55556
157	9	La4	A4	305	305	1	8	385	95	96	.	18.66667
158	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	18.77778
159	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	18.88889
160	9	Re5	D5	327	327	1	8	385	95	96	.	19
161	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	19.05556
162	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	19.11111
163	9	La4	A4	305	305	3	8	1154	95	96	.	19.44444
164	53			0	0	0	0	0	0	0		19.44444
165	9	Sol4	G4	296	296	1	4	769	95	96	.	19.66667
166	9	La4	A4	305	305	1	4	769	95	96	.	19.88889
167	9			-1	-1	1	8	385	100	0	.	20
168	53			0	0	0	0	0	0	0		20
169	9	La4	A4	305	305	1	8	385	95	96	.	20.11111
170	9	Re5	D5	327	327	1	4	769	95	96	.	20.33333
171	9	Mi5	E5	336	336	1	8	385	95	96	.	20.44444
172	9	Fa5	F5	340	340	1	8	385	95	96	.	20.55556
173	9	Mi5	E5	336	336	1	8	385	95	96	.	20.66667
174	9	Re5	D5	327	327	1	8	385	95	96	.	20.77778
175	9	Fa5	F5	340	340	1	8	385	95	96	.	20.88889
176	9	Mi5	E5	336	336	1	8	385	95	96	.	21
177	9	Re5	D5	327	327	1	2	1538	95	96	.	21.44444
178	53			0	0	0	0	0	0	0		21.44444
179	9	La4	A4	305	305	1	4	769	95	96	.	21.66667
180	9	Re5	D5	327	327	1	4	769	95	96	.	21.88889
181	9			-1	-1	1	8	385	100	0	.	22
182	53			0	0	0	0	0	0	0		22
183	9	Sol5	G5	349	349	1	16	192	95	96	.	22.05556
184	9	Fa5#4	F5#4	344	344	1	16	192	95	96	.	22.11111
185	9	Sol5	G5	349	349	1	4	769	95	96	.	22.33333
186	9	Mi5	E5	336	336	1	8	385	95	96	.	22.44444
187	9	Fa5#4	F5#4	344	344	1	8	385	95	96	.	22.55556
188	9	Sol5	G5	349	349	1	8	385	95	96	.	22.66667
189	9	La5	A5	358	358	1	4	769	95	96	.	22.88889
190	9			-1	-1	1	8	385	100	0	.	23
191	53			0	0	0	0	0	0	0		23
192	9	La5	A5	358	358	1	12	256	95	96	.	23.07407
193	9	Sol5	G5	349	349	1	12	256	95	96	.	23.14815
194	9	La5	A5	358	358	1	12	256	95	96	.	23.22222
195	9	Sol5	G5	349	349	1	12	256	95	96	.	23.2963
196	9	Fa5#4	F5#4	344	344	1	12	256	95	96	.	23.37037
197	9	Sol5	G5	349	349	1	12	256	95	96	.	23.44444
198	9	Fa5	F5	340	340	1	12	256	95	96	.	23.51852
199	9	Mi5	E5	336	336	1	12	256	95	96	.	23.59259
200	9	Fa5	F5	340	340	1	12	256	95	96	.	23.66667
201	9	Re5	D5	327	327	1	4	769	95	96	.	23.88889
202	9			-1	-1	1	8	385	100	0	.	24
203	53			0	0	0	0	0	0	0		24
204	9	Mi5	E5	336	336	1	8	385	95	96	.	24.11111
205	9	Fa5	F5	340	340	1	8	385	95	96	.	24.22222
206	9	Mi5	E5	336	336	1	8	385	95	96	.	24.33333
207	9	Re5	D5	327	327	1	8	385	95	96	.	24.44444
208	9	Sol5	G5	349	349	1	8	385	95	96	.	24.55556
209	9	Fa5	F5	340	340	1	8	385	95	96	.	24.66667
210	9	Mi5	E5	336	336	1	8	385	95	96	.	24.77778
211	9	Re5	D5	327	327	1	8	385	95	96	.	24.88889
212	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	25
213	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	25.05556
214	9	La4	A4	305	305	1	16	192	95	96	.	25.11111
215	9	Si4b4	B4b4	310	310	1	4	769	95	96	.	25.33333
216	9			-1	-1	1	8	385	100	0	.	25.44444
217	9	Si4b4	B4b4	310	310	1	2	1538	95	96	.	25.88889
218	9			-1	-1	1	8	385	100	0	.	26
219	53			0	0	0	0	0	0	0		26
220	9	La4	A4	305	305	1	8	385	95	96	.	26.11111
221	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	26.22222
222	9	La4	A4	305	305	1	8	385	95	96	.	26.33333
223	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	26.44444
224	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	26.55556
225	9	Re5	D5	327	327	1	8	385	95	96	.	26.66667
226	9	Re5	D5	327	327	1	8	385	95	96	.	26.77778
227	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	26.88889
228	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	27
229	9	Si4b4	B4b4	310	310	1	16	192	95	96	.	27.05556
230	11	La4	A4	305	305	1	16	192	95	96	.	27.11111
231	9	La4	A4	305	305	1	4	769	95	96	.	27.33333
232	9			-1	-1	1	8	385	100	0	.	27.44444
233	53			0	0	0	0	0	0	0		27.44444
234	54			0	0	0	0	0	0	0	eviç@fa#	27.44444
235	9	Mi5#4	E5#4	340	340	1	4	769	50	96	.	27.66667
236	9	Fa5#4	F5#4	344	344	1	4	769	50	96	.	27.88889
237	9			-1	-1	1	8	385	100	0	.	28
238	53			0	0	0	0	0	0	0		28
239	9	Fa5#4	F5#4	344	344	1	8	385	95	96	Ý	28.11111
240	9	Fa5#4	F5#4	344	344	1	4	769	95	96	çim	28.33333
241	9	Mi5#4	E5#4	340	340	1	8	385	95	96	de 	28.44444
242	9	Fa5#4	F5#4	344	344	1	8	385	95	96	u	28.55556
243	9	Sol5	G5	349	349	1	8	385	95	96	ya	28.66667
244	9	Fa5#4	F5#4	344	344	1	4	769	95	96	nan 	28.88889
245	9			-1	-1	1	8	385	100	0		29
246	53			0	0	0	0	0	0	0		29
247	9			-1	-1	1	8	385	100	0		29.11111
248	9	La5	A5	358	358	1	4	769	95	96	es	29.33333
249	9	Si5b1	B5b1	366	366	1	8	385	95	96	ki 	29.44444
250	9	Si5b1	B5b1	366	366	1	8	385	95	96	bir_	29.55556
251	9	La5	A5	358	358	1	8	385	99	96	ar	29.66667
252	9	La5	A5	358	358	1	8	385	99	96		29.77778
253	9	Sol5	G5	349	349	1	8	385	99	96		29.88889
254	9	Fa5#4	F5#4	344	344	1	8	385	95	96		30
255	9	Fa5#4	F5#4	344	344	1	2	1538	95	96	zu  	30.44444
256	53			0	0	0	0	0	0	0		30.44444
257	9	Re5	D5	327	327	1	4	769	95	96	SAZ	30.66667
258	9	Fa5#4	F5#4	344	344	1	4	769	95	96	.	30.88889
259	9			-1	-1	1	8	385	100	0		31
260	53			0	0	0	0	0	0	0		31
261	9	Fa5#4	F5#4	344	344	1	8	385	95	96	Ý	31.11111
262	9	Fa5#4	F5#4	344	344	1	4	769	95	96	çim	31.33333
263	9	Mi5#4	E5#4	340	340	1	8	385	95	96	de 	31.44444
264	9	Fa5#4	F5#4	344	344	1	8	385	95	96	u	31.55556
265	9	Sol5	G5	349	349	1	8	385	95	96	ya	31.66667
266	9	Fa5#4	F5#4	344	344	1	4	769	95	96	nan 	31.88889
267	9			-1	-1	1	8	385	100	0		32
268	53			0	0	0	0	0	0	0		32
269	9			-1	-1	1	8	385	100	0		32.11111
270	9	La5	A5	358	358	1	4	769	95	96	es	32.33333
271	9	Si5b1	B5b1	366	366	1	8	385	95	96	ki 	32.44444
272	9	Si5b1	B5b1	366	366	1	8	385	95	96	bir_	32.55556
273	9	La5	A5	358	358	1	8	385	99	96	ar	32.66667
274	9	La5	A5	358	358	1	8	385	99	96		32.77778
275	9	Sol5	G5	349	349	1	8	385	99	96		32.88889
276	9	Fa5#4	F5#4	344	344	1	8	385	95	96		33
277	9	Fa5#4	F5#4	344	344	1	2	1538	95	96	zu  	33.44444
278	53			0	0	0	0	0	0	0		33.44444
279	9	Re5	D5	327	327	1	4	769	95	96	SAZ	33.66667
280	9	Fa5#4	F5#4	344	344	1	4	769	95	96	.	33.88889
281	9			-1	-1	1	8	385	100	0		34
282	53			0	0	0	0	0	0	0		34
283	9	Mi5#4	E5#4	340	340	1	8	385	95	96	De	34.11111
284	9	Fa5#4	F5#4	344	344	1	8	385	95	96	di 	34.22222
285	9	Sol5	G5	349	349	1	8	385	99	96	ki 	34.33333
286	9	La5	A5	358	358	1	8	385	95	96		34.44444
287	9	La5	A5	358	358	1	8	385	95	96	yýl	34.55556
288	9	Sol5	G5	349	349	1	8	385	99	96	lar	34.66667
289	9	Fa5#4	F5#4	344	344	1	8	385	99	96		34.77778
290	9	Mi5#4	E5#4	340	340	1	8	385	99	96		34.88889
291	9	Re5	D5	327	327	1	8	385	95	96		35
292	9	Re5	D5	327	327	1	4	769	95	96	dýr 	35.22222
293	53			0	0	0	0	0	0	0		35.22222
294	9	Mi5#4	E5#4	340	340	1	8	385	95	96	a	35.33333
295	9	Fa5#4	F5#4	344	344	1	8	385	95	96	ra	35.44444
296	9	Sol5	G5	349	349	1	8	385	99	96	dý	35.55556
297	9	La5	A5	358	358	1	8	385	95	96		35.66667
298	9	La5	A5	358	358	1	8	385	99	96	ðým 	35.77778
299	9	Sol5	G5	349	349	1	8	385	99	96		35.88889
300	9	Fa5#4	F5#4	344	344	1	8	385	95	96		36
301	55			0	0	0	0	0	0	0		36
302	9	Sol5	G5	349	349	1	2	1538	99	96	bu  	36.44444
303	53			0	0	0	0	0	0	0		36.44444
304	9	Mi5	E5	336	336	1	16	192	99	96		36.5
305	9	Fa5#4	F5#4	344	344	1	16	192	99	96		36.55556
306	9	Mi5	E5	336	336	1	16	192	99	96		36.61111
307	9	Fa5#4	F5#4	344	344	1	16	192	99	96		36.66667
308	9	Sol5	G5	349	349	1	4	769	95	96		36.88889
309	9			-1	-1	1	8	385	100	0		37
310	53			0	0	0	0	0	0	0		37
311	9			-1	-1	1	8	385	100	0		37.11111
312	9	Mi5	E5	336	336	1	4	769	95	96	Þim	37.33333
313	9	Fa5#4	F5#4	344	344	1	8	385	95	96	di 	37.44444
314	9	Sol5	G5	349	349	1	8	385	95	96	so	37.55556
315	9	Sol5	G5	349	349	1	8	385	95	96	ru	37.66667
316	9	Sol5	G5	349	349	1	8	385	95	96	yo	37.77778
317	9	Fa5	F5	340	340	1	8	385	99	96	rum 	37.88889
318	9	Mi5	E5	336	336	1	8	385	95	96		38
319	53			0	0	0	0	0	0	0		38
320	9	Mi5	E5	336	336	1	8	385	95	96	bü	38.11111
321	9	Fa5	F5	340	340	1	4	769	99	96	küp 	38.33333
322	9	Sol5	G5	349	349	1	8	385	95	96		38.44444
323	9	Sol5	G5	349	349	1	8	385	99	96	boy	38.55556
324	9	Fa5	F5	340	340	1	16	192	99	96		38.61111
325	9	Mi5	E5	336	336	1	16	192	99	96		38.66667
326	9	Re5	D5	327	327	1	8	385	99	96		38.77778
327	9	Mi5	E5	336	336	1	8	385	95	96		38.88889
328	9	Mi5	E5	336	336	1	16	192	99	96	nu	38.94444
329	11	Re5	D5	327	327	1	16	192	95	96		39
330	9	Re5	D5	327	327	1	2	1538	95	96	mu  	39.44444
331	9			-1	-1	1	4	769	100	0		39.66667
332	53			0	0	0	0	0	0	0		39.66667
333	9	Re5	D5	327	327	1	8	385	99	96	ah  	39.77778
334	9	Do5#4	C5#4	322	322	1	8	385	99	96		39.88889
335	9	Si4b4	B4b4	310	310	1	8	385	95	96		40
336	53			0	0	0	0	0	0	0		40
337	54			0	0	0	0	0	0	0	niþabur@si	40
338	9	Do5#4	C5#4	322	322	1	8	385	95	96	Da	40.11111
339	9	Re5	D5	327	327	1	8	385	95	96	ha 	40.22222
340	9	Do5#4	C5#4	322	322	1	8	385	99	96	ön	40.33333
341	9	Si4	B4	314	314	1	8	385	95	96		40.44444
342	9	Do5#4	C5#4	322	322	1	8	385	95	96	ce	40.55556
343	9	Re5	D5	327	327	1	8	385	95	96	le	40.66667
344	9	Re5	D5	327	327	1	8	385	99	96	ri 	40.77778
345	9	Do5#4	C5#4	322	322	1	8	385	99	96		40.88889
346	9	Si4	B4	314	314	1	8	385	100	96		41
347	9	Si4	B4	314	314	1	4	769	95	96		41.22222
348	55			0	0	0	0	0	0	0		41.22222
349	53			0	0	0	0	0	0	0		41.22222
350	9	Fa5	F5	340	340	1	8	385	95	96	ne	41.33333
351	9	Fa5	F5	340	340	1	8	385	95	96	re	41.44444
352	9	Fa5	F5	340	340	1	16	192	99	96	dey	41.5
353	9	Mi5	E5	336	336	1	16	192	99	96		41.55556
354	9	Re5	D5	327	327	1	8	385	99	96		41.66667
355	9	Re5	D5	327	327	1	16	192	99	96		41.72222
356	9	Do5#4	C5#4	322	322	1	16	192	99	96		41.77778
357	9	Si4b4	B4b4	310	310	1	8	385	95	96		41.88889
358	9	Do5#4	C5#4	322	322	1	8	385	95	96	di	42
359	9	Si4b4	B4b4	310	310	1	2	1538	95	96	niz  	42.44444
360	53			0	0	0	0	0	0	0		42.44444
361	9	Re5	D5	327	327	1	16	192	95	96	SAZ	42.5
362	9	Do5#4	C5#4	322	322	1	16	192	95	96	.	42.55556
363	9	Re5	D5	327	327	1	8	385	95	96	.	42.66667
364	9	Do5#4	C5#4	322	322	1	8	385	95	96	.	42.77778
365	9	Si4b4	B4b4	310	310	1	8	385	95	96	.	42.88889
366	9	La4	A4	305	305	1	8	385	95	96	.	43
367	53			0	0	0	0	0	0	0		43
368	9	La4	A4	305	305	1	8	385	95	96	Da	43.11111
369	9	Si4b4	B4b4	310	310	1	8	385	95	96	ha 	43.22222
370	9	Si4b4	B4b4	310	310	1	8	385	99	96	ön	43.33333
371	9	La4	A4	305	305	1	8	385	95	96		43.44444
372	9	La4	A4	305	305	1	8	385	95	96	ce	43.55556
373	9	Si4b4	B4b4	310	310	1	8	385	95	96	le	43.66667
